name,relation,value
耳草属,生活型,草本、亚灌木或灌木
耳草属,生长型,轮生
耳草,生活型,多年生、近直立或平卧的粗壮草本
耳草,物候期,花期3至8月
耳齿蝇子草,生活型,多年生草本
耳齿蝇子草,物候期,花期8至9月
耳柄紫堇,生活型,萎软草本
耳唇兰属,生活型,附生草本
耳唇兰,物候期,花果期10至12月
宽叶耳唇兰,物候期,花期10至11月，果期不详
白花丹,物候期,花期10月至翌年3月
白花丹,物候期,果期12月至翌年4月
耳稃草,生活型,多年生
耳稃草,生长型,单生
耳稃草,物候期,花果期8至12月
耳稃草属,生活型,多年生或一年生草本
虎耳草,生活型,多年生草本
荷包牡丹,生活型,直立草本
荷包牡丹,物候期,花期4至6月
耳基柏拉木,物候期,花期约6月，果期约7月
耳基冷水花,生活型,草本
耳基冷水花,物候期,花期9至10月，果期10月至次年1月
耳菊属,生活型,多年生草本
耳基水苋,生活型,草本
耳基水苋,物候期,花期8至12月
耳蕨属,生长型,簇生
耳蕨属,生长型,顶生
耳基叶杨桐,生活型,灌木或小乔木
耳基叶杨桐,生活型,枝圆筒形
耳菊,生活型,多年生草本
耳菊,物候期,花果期8月
耳柳,物候期,花期5月，果期6月
耳片角盘兰,物候期,花期6至8月
小一点红,生活型,一年生草本
小一点红,物候期,花果期5至10月
挖耳草,生活型,陆生小草本
挖耳草,物候期,花期6至12月，果期7月一次年1月
野茉莉,生活型,灌木或小乔木
野茉莉,物候期,花期4至7月，果期9至11月
毛萼野茉莉,物候期,花期4至5月，果期9至12月
耳药花,物候期,花期7至10月
耳药花属,生长型,顶生
耳叶补血草,生活型,多年生草本
耳叶补血草,生长型,互生
耳叶补血草,物候期,花期6至7月，果期7至8月
耳叶杜鹃,生活型,常绿灌木或小乔木
耳叶杜鹃,物候期,花期7至8月，果期9至10月
耳叶凤仙花,生活型,一年生草本
耳叶凤仙花,物候期,花期7至9月
耳叶合耳菊,生活型,灌木状草本或亚灌木
耳叶合耳菊,物候期,花期11月
耳叶风毛菊,生活型,多年生草本
耳叶风毛菊,物候期,花果期8月
耳叶鸡矢藤,物候期,花期6至7月，果期10至11月
耳叶蓼,生活型,多年生草本
耳叶龙船花,生活型,灌木或小乔木
耳叶龙船花,物候期,花期5至6月
耳叶马蓝,生活型,灌木状草本
耳叶南芥,生活型,一年生草本
耳叶南芥,物候期,花、果期4至6月
耳叶柃,物候期,花期10至11月，果期次年5月
耳叶马兜铃,生长型,对生
耳叶马兜铃,物候期,花期5至8月，果期10至12月
牛皮消,物候期,花期6至9月，果期7至11月
耳叶蟹甲草,生活型,多年生草本
耳叶蟹甲草,物候期,花期6至7月，果期9月
大叶相思,生活型,常绿乔木
耳叶象牙参,物候期,花期：6至8月
耳叶悬钩子,物候期,花期6至7月，果期7至9月
耳叶珍珠菜,生活型,多年生草本
耳叶珍珠菜,物候期,花期5至6月
耳叶珍珠菜,物候期,果期6至7月
耳翼蟹甲草,生活型,多年生草本
耳羽钩毛蕨,生长型,簇生
耳状楼梯草,生活型,多年生草本
耳状楼梯草,物候期,花期5至6月
耳状虎耳草,生活型,多年生草本
耳状虎耳草,物候期,花期7至8月
耳状人字果,生活型,草本全体无毛
耳状人字果,物候期,4至5月开花，4至6月结果
洱源虎耳草,生活型,多年生草本
洱源虎耳草,物候期,花果期7至9月
川滇米口袋,生活型,多年生草本
川滇米口袋,物候期,花期3至5月，果期7至8月
洱源囊瓣芹,物候期,花果期4至8月
洱源碎米荠,生活型,一年或多年生草本
洱源碎米荠,生长型,顶生
洱源碎米荠,物候期,花期4月
洱源橐吾,生活型,多年生草本
洱源紫堇,生活型,多年生草本
洱源紫堇,物候期,花果期5至8月
洱源鼠尾草,生活型,多年生草本
洱源鼠尾草,生长型,顶生
洱源鼠尾草,物候期,花期7月
二苞黄精,物候期,花期5至6月，果期8至9月
忍冬,物候期,花期4至6月（秋季亦常开花），果熟期10至11月
黄蓉花,物候期,花期7至10月，果期10至12月
二叉破布木,生活型,乔木
二叉破布木,物候期,花期11月，果实第二年1月成熟
二翅六道木,物候期,花期5至6月，果熟期8至10月
双刺茶藨子,物候期,花期5至6月，果期8至9月
二刺叶兔唇花,生活型,多年生植物
二刺叶兔唇花,物候期,花期6月
二峨薹草,物候期,花果期6至7月
二萼丰花草,生活型,纤细匍匐草本
二萼丰花草,生活型,为少见的矮小草本
二萼喉毛花,生活型,一年生草本
二萼喉毛花,物候期,花期9月
二耳沼兰,生活型,地生草本
二耳沼兰,物候期,花期6月
二花对叶兰,物候期,花期7月
二花棘豆,生活型,多年生草本
二花棘豆,物候期,花期6至7月，果期7至8月
粉枝莓,生长型,顶生
粉枝莓,生长型,簇生
粉枝莓,物候期,花期5至6月，果期7至8月
二花米努草,生活型,多年生草本
二花米努草,物候期,花期6至8月，果期8至9月
二花珍珠茅,物候期,花果期7至10月
二回原始观音座莲,生长型,顶生
二脊沼兰,生活型,地生草本
二脊沼兰,物候期,花果期7至9月
二尖齿黄耆,生长型,簇生
二尖齿黄耆,物候期,花期6至7月
二尖耳蕨,生长型,簇生
绿花山芹,生活型,多年生草本
绿花山芹,物候期,花期7至8月，果期8至9月
二郎山报春,生活型,常绿多年生草本
二郎山报春,生活型,开花时当年生新叶基部有鳞片
二郎山报春,物候期,花期4至5月
二郎山蒿,生活型,半灌木状草本
二郎山蒿,物候期,花果期8至10月
二郎山翠雀花,物候期,9月开花
二棱秋海棠,生活型,多年生草本
二棱秋海棠,物候期,花期11月
二连锦鸡儿,物候期,花期8月
上思省藤,生长型,单生
上思省藤,物候期,花期5月，果期9月
二列藤山柳,物候期,花期6月，果期8月
二列瓦理棕,生活型,乔木状
二列瓦理棕,物候期,花期4至7月
二列瓦理棕,生活型,乔木状单生
狭叶鸢尾兰,物候期,花果期7至10月
二列叶虾脊兰,物候期,花期（4至）7至10月
二列叶柃,生活型,灌木或小乔木
二列叶柃,生活型,小枝稍纤细
二列叶柃,物候期,花期10至12月，果期次年6至7月
二裂棘豆,生活型,多年生草本
二裂棘豆,物候期,花期6至7月，果期7至8月
二裂委陵菜,生活型,多年生草本或亚灌木
二裂委陵菜,物候期,花果期5至9月
二裂虾脊兰,物候期,花期10月
二芒金发草,物候期,花果期3月中旬
齿唇兰,物候期,花期6至9月
二芒莠竹,生活型,一年生蔓生草本
二岐山蚂蝗,生活型,披散草本或亚灌木
二岐山蚂蝗,物候期,花期6至8月，果期9至10月
二歧蓼,生活型,一年生草本
野鸢尾,生活型,多年生草本
野鸢尾,物候期,花期7至8月，果期8至9月
二歧马先蒿,生活型,多年生草本
二歧马先蒿,生长型,对生
二歧马先蒿,物候期,花期7至9月
二歧银莲花,物候期,6月开花
二乔木兰,生活型,小乔木
二乔木兰,物候期,花期2至3月，果期9至10月
二蕊拟漆姑,生活型,一年生草本
二蕊拟漆姑,物候期,花期5至7月，果期6至9月
西南五月茶,生活型,灌木或小乔木
西南五月茶,生长型,顶生
西南五月茶,物候期,花期5至7，果期6至11月
二色桉,生活型,中等乔木
二色桉,物候期,花期9月
二色补血草,生活型,多年生草本
二色补血草,物候期,花期5（下旬）至7月，果期6至8月
二色波罗蜜,生活型,乔木
二色大苞兰,生长型,顶生
二色大苞兰,物候期,花期(3)7至11月
二色唇柱苣苔,生活型,多年生草本
二色唇柱苣苔,物候期,花期4月
二色党参,生长型,对生
二色党参,物候期,花果期7至10月
二色凤仙花,生活型,一年生草本
二色凤仙花,物候期,花期8月
二色滇紫草,生活型,一年生或二年生草本
二色滇紫草,物候期,花果期7月
地角儿苗,生活型,多年生草本
地角儿苗,生长型,簇生
地角儿苗,生长型,轮生
地角儿苗,物候期,花果期4至9月
二色金石斛,生长型,顶生
二色金石斛,物候期,花期6至7月
二色锦鸡儿,物候期,花期6至7月，果期9至10月
二色老鹳草,生活型,一年生草本
二色老鹳草,物候期,花期2至4月，果期4至5月
二色卷瓣兰,物候期,花期5月
弯管列当,生活型,一年生、二年生或多年生寄生草本
弯管列当,物候期,花期5至7月，果期7至9月
二色柳,生活型,当年生枝初时被绒毛
二色柳,物候期,花期5月，果期5至6月
二色马先蒿,生活型,低矮草本
二色马先蒿,物候期,花期7月
二色南星,物候期,花期3月，果期7月
二色五味子,生活型,当年生枝淡红色
二色五味子,物候期,花期7月，果期9至10月
瘤枝五味子,物候期,花期6至7月，果期10月
二色小檗,生长型,簇生
二色小檗,物候期,花期4至5月，果期6至8月
二色香青,物候期,花期7至10月，果期9至11月
赶山鞭,生活型,多年生草本
赶山鞭,物候期,花期7至8月，果期8至9月
二尾兰属,生活型,地生草本
二尾兰,物候期,花期3至5月
二行芥属,生活型,一年、二年或多年生草本
二行芥,生活型,一年或二年生草本
二行芥,物候期,花果期6至7月
二狭叶兜被兰,物候期,花期8至9月
二型花属,生活型,多年生草本
二型花属,生长型,簇生
二形鳞薹草,物候期,花果期4至6月
疣状叉蕨,生长型,簇生
二型柳叶箬,生活型,一年生
二型柳叶箬,物候期,花果期5至10月
二型鳞毛蕨,生长型,对生
四数獐牙菜,生活型,一年生草本
四数獐牙菜,物候期,花果期7至9月
二型叶棘豆,生活型,多年生草本
二型叶棘豆,物候期,花期4至5月，果期5至6月
二药藻,生活型,浅海生沉水草本
二药藻,生长型,互生
二药藻,生长型,顶生
二药藻属,生活型,浅海生沉水草本
二型莠竹,生活型,一年生草本
二型莠竹,物候期,花果期9至11月
二叶兜被兰,物候期,花期8至9月
二叶独蒜兰,生活型,附生或地生草本
二叶独蒜兰,物候期,花期5至7月，果期10月
二叶红门兰,物候期,花期6至8月
双叶梅花草,生活型,多年生草本
双叶梅花草,生长型,顶生
双叶梅花草,物候期,花期7至8月，果期8月开始
二叶石豆兰,生长型,顶生
二叶石豆兰,物候期,花期10月
棒距无柱兰,物候期,花期8至9月
二叶玉凤花,物候期,花期6月
二叶郁金香,生长型,对生
二叶郁金香,物候期,花期4月
二叶獐牙菜,生活型,多年生草本
二叶獐牙菜,物候期,花果期7至9月
诸葛菜,生活型,一年或二年生草本
诸葛菜,物候期,花期4至5月，果期5至6月
二柱繁缕,生活型,多年生草本
二柱繁缕,物候期,花期7月，果期8月
二褶羊耳蒜,生活型,地生草本
二褶羊耳蒜,物候期,花期6至7月，果期10月
二籽薹草,物候期,花果期6至7月
法落海,生活型,多年生草本
法落海,物候期,花期6至7月，果期8月
二柱薹草,物候期,花果期5至6月
阿坝蒿,生活型,多年生草本
阿坝蒿,物候期,花果期8至10月
海南线果兜铃,物候期,花期8至12月，果期1至3月
阿坝龙胆,生活型,一年生草本
阿坝龙胆,物候期,花果期8至9月
红花绿绒蒿,生活型,多年生草本
红花绿绒蒿,物候期,花果期6至9月
阿波树萝卜,物候期,花期1至2月
粗齿冷水花,生活型,草本
粗齿冷水花,物候期,花期6至7月，果期8至10月
木竹子,生活型,乔木
木竹子,物候期,花期6至8月，果期11至12月
假朝天罐,物候期,花期8至11月，果期10至12月
昌都锦鸡儿,物候期,花期6月，果期7至8月
甘孜沙参,物候期,花期7至8月，果期9月
阿墩子虎耳草,生活型,多年生草本
阿墩子虎耳草,物候期,花期7至8月
阿墩子马先蒿,生活型,多年生草本
阿墩子马先蒿,生长型,轮生
阿墩子马先蒿,物候期,花期7月
阿墩子龙胆,生活型,多年生草本
阿墩子龙胆,物候期,花果期6至11月
川滇蹄盖蕨,生长型,簇生
番薯,生活型,一年生草本
阿墩紫堇,生活型,多年生草本
阿墩紫堇,物候期,花果期6至8月
阿尔泰百里香,物候期,花期7至8月
阿尔金山碱茅,生活型,多年生
阿尔金山碱茅,物候期,花果期7至9月
阿尔泰贝母,物候期,花期5月
阿尔金山早熟禾,生活型,多年生
阿尔金山早熟禾,物候期,花果期6至8月
阿尔泰柴胡,生活型,多年生草本
阿尔泰柴胡,物候期,花期7至8月，果期8至9月
阿尔泰独尾草,物候期,花期5至6月，果期7至8月
阿尔泰大黄,生活型,高大草本
阿尔泰大黄,物候期,果期7至8月
阿尔泰多榔菊,生活型,多年生草本
阿尔泰多榔菊,物候期,花期6至8月
阿尔泰醋栗,物候期,花期5至6月，果期7至8月
阿尔泰大戟,生活型,多年生草本
阿尔泰大戟,物候期,花果期6至7月
阿尔泰飞蓬,生活型,多年生草本
阿尔泰飞蓬,生长型,单生
阿尔泰飞蓬,物候期,花期6至8月
阿尔泰黄芩,生活型,多年生半灌木
阿尔泰黄芩,物候期,花期7至8月，果期8月
阿尔泰棘豆,生活型,多年生草本
阿尔泰棘豆,物候期,花果期7月
阿尔泰蓟,生活型,多年生草本
阿尔泰蓟,物候期,花果期8至9月
阿尔泰假狼毒,生活型,多年生直立草本
阿尔泰假狼毒,物候期,花期5至6月，果期7至8月
灰毛罂粟,生活型,多年生草本
灰毛罂粟,物候期,花果期6至8月
阿尔泰金莲花,物候期,5至7月开花，8月结果
阿尔泰堇菜,生活型,多年生草本
阿尔泰堇菜,物候期,花期5至8月
阿尔泰藜芦,物候期,花果期8至9月
阿尔泰蓝盆花,生长型,顶生
阿尔泰蓝盆花,物候期,花期6至7月，果期8月
阿尔泰菊蒿,生活型,多年生草本
阿尔泰菊蒿,物候期,花果期6至8月
阿尔泰马先蒿,生活型,多年生草本
阿尔泰马先蒿,物候期,花期6至7月
阿尔泰马先蒿,物候期,果期7至8月
阿尔泰毛茛,生活型,多年生草本
阿尔泰毛茛,生长型,簇生
阿尔泰毛茛,物候期,花果期6月至8月
阿尔泰牡丹草,生活型,多年生小草本
阿尔泰牡丹草,物候期,花期3至4月
阿尔泰蒲公英,生活型,多年生草本
阿尔泰蒲公英,物候期,花果期6至7月
阿尔泰瑞香,生活型,小枝伸长
阿尔泰瑞香,生长型,顶生
阿尔泰瑞香,物候期,花期5至6月，果期7至9月
阿尔泰扭藿香,生活型,多年生草本
阿尔泰扭藿香,物候期,花期6至8月
阿尔泰山楂,生活型,中型乔木
