黄精叶钩吻,治跌打损伤   Disease:跌打损伤 
马蹄金,乳痈   Disease:乳痈 
马蹄金,痢疾   Disease:痢疾 
马蹄金,疟疾   Disease:疟疾 
马蹄金,肺出血等   Disease:肺出血 
金毛铁线莲,治肾炎   Disease:肾炎 
金毛铁线莲,尿结   Disease:尿结 
金毛铁线莲,火眼   Disease:火眼 
金毛铁线莲,根外用   
松潘乌头,治跌打损伤   Disease:跌打损伤 
松潘乌头,风湿性关节痛等症   Disease:风湿性关节痛 
松潘乌头,陕西中草药   Disease:西中 
金钱豹,治神经衰弱等症   Disease:神经衰弱 
金钱豹,也可蔬食   Disease:蔬食 
金钱松,治顽癣和食积等症   Disease:顽癣 Disease:食积 
金雀马尾参,治癞疮   Disease:癞疮 
水茄,治疮毒   Disease:疮毒 
水茄,嫩果煮熟可供蔬食   Disease:煮熟 Disease:供蔬 
长萼鹿角藤,治风湿性腰腿痛   Disease:风湿性腰腿痛 
长萼鹿角藤,肾亏腰痛   Disease:肾亏腰痛 
长萼鹿角藤,高血压   Disease:高血压 
长萼鹿角藤,骨折   Disease:骨折 
长萼鹿角藤,跌打损伤   Disease:跌打损伤 
多叶唐松草,治肝炎   Disease:肝炎 
多叶唐松草,痢疾   Disease:痢疾 
多叶唐松草,云南中草药   Disease:云南中草药 
多叶唐松草,小儿热症   Disease:小儿热症 
多叶唐松草,痘疹难透等症   Disease:痘疹难透 
多叶唐松草,四川中药志   Disease:四川中药 
金粟兰,治风湿疼痛   Disease:风湿疼痛 
金粟兰,跌打损伤   Disease:跌打损伤 
金粟兰,根状茎捣烂可   Disease:捣烂 
金挖耳,治感冒发热   Disease:感冒发热 
金挖耳,咽喉肿痛   Disease:咽喉肿痛 
金挖耳,牙痛   Disease:牙痛 
金挖耳,蛔虫腹痛   Disease:蛔虫腹痛 
金挖耳,急性肠炎   Disease:急性肠炎 
金挖耳,痢疾   Disease:痢疾 
金挖耳,尿道感染   Disease:尿道感染 
金挖耳,淋巴结结核   Disease:淋巴结结核 
金挖耳,治疮疖肿毒   Disease:疮疖肿毒 
金挖耳,乳腺炎   Disease:乳腺炎 
金挖耳,带状疱疹   Disease:带状疱疹 
金挖耳,毒蛇咬伤   Disease:毒蛇咬伤 
槐,治疗疮毒   Disease:疗疮毒 
金樱子,治疮疖   Disease:疮疖 
金樱子,烧烫伤   Disease:烧烫伤 
金鱼藻,治内伤吐血   Disease:内伤吐血 
金盏银盘,治上呼吸道感染   Disease:上呼吸道感染 
金盏银盘,咽喉肿痛   Disease:咽喉肿痛 
金盏银盘,急性阑尾炎   Disease:急性阑尾炎 
金盏银盘,急性黄疸型肝炎   Disease:急性黄疸型肝炎 
金盏银盘,胃肠炎   Disease:胃肠炎 
金盏银盘,风湿关节疼痛   Disease:风湿关节疼痛 
金盏银盘,疟疾   Disease:疟疾 
金盏银盘,外用   
筋骨草,治肺热咯血   Disease:肺热咯血 
筋骨草,跌打损伤   Disease:跌打损伤 
筋骨草,扁桃腺炎   Disease:扁桃腺炎 
筋骨草,咽喉炎等症   Disease:咽喉炎 
麻叶豆腐柴,治脉管炎   Disease:脉管炎 
麻叶豆腐柴,风湿性关节炎   Disease:风湿性关节炎 
麻叶豆腐柴,筋骨疼痛   Disease:筋骨疼痛 
麻叶豆腐柴,腰痛   Disease:腰痛 
麻叶豆腐柴,胃痛   Disease:胃痛 
麻叶豆腐柴,吐血   Disease:吐血 
麻叶豆腐柴,《云南药用植物名录》   Disease:《云南药 Disease:植物名录》 
筋藤,治消肿   Disease:消肿 
筋藤,止痛   Disease:止痛 
筋藤,抽筋   Disease:抽筋 
筋藤,风湿等   Disease:风湿 
堇菜,治节疮   Disease:节疮 
堇菜,肿毒等症   Disease:肿毒 
锦地罗,治肠炎   Disease:肠炎 
锦地罗,菌痢   Disease:菌痢 
锦地罗,喉痛   Disease:喉痛 
锦地罗,咳嗽和小儿疳积   Disease:咳嗽 Disease:小儿疳积 
锦地罗,外敷可   
锦香草,治耳朵出脓   Disease:耳朵出脓 
锦香草,可能是中耳炎   Disease:是中耳炎 
长冠鼠尾草紫参,治感冒风寒及腹痛   Disease:感冒风寒 Disease:腹痛 
长冠鼠尾草紫参,治妇科病并可通经活络   Disease:妇科病 Disease:通经活络 
长冠鼠尾草紫参,治伤风咳嗽   Disease:伤风咳嗽 
毛胶薯蓣,治慢性肝炎   Disease:慢性肝炎 
毛胶薯蓣,贵州民间用鲜根刮取胶质   Disease:贵州 Disease:间用 Disease:刮取胶质 
毛胶薯蓣,敷于伤处   Disease:伤处 
大戟,治水肿   Disease:水肿 
大戟,并有通经之效   Disease:通经 
颈果草,治多   
颈果草,兴海   Disease:兴海 
麦瓶草,治鼻衄   Disease:鼻衄 
麦瓶草,吐血   Disease:吐血 
麦瓶草,尿血   Disease:尿血 
麦瓶草,肺脓疡和月经不调等症   Disease:肺脓疡 Disease:月经不调 
九管血,治风湿筋骨痛   Disease:风湿筋骨痛 
九管血,痨伤咳嗽   Disease:痨伤咳嗽 
九管血,喉蛾   Disease:喉蛾 
九管血,蛇咬伤和无名肿毒   Disease:蛇咬伤 Disease:无名肿毒 
鸭脚茶,治感冒   Disease:感冒 
鸭脚茶,治头痛或疟疾   Disease:头痛 Disease:疟疾 
鸭脚茶,与猪腰煎水冲酒服   Disease:与猪腰煎水冲酒 
临时救,治风寒头痛   Disease:风寒头痛 
临时救,咽喉肿痛   Disease:咽喉肿痛 
临时救,肾炎水肿   Disease:肾炎水肿 
临时救,肾结石   Disease:肾结石 
临时救,小儿疳积   Disease:小儿疳积 
临时救,疔疮   Disease:疔疮 
临时救,毒蛇咬伤等   Disease:毒蛇咬伤 
临时救,治跌损   Disease:跌损 
临时救,云伤重垂毙   Disease:云伤重垂毙 
临时救,灌之可活   
临时救,故名   Disease:故名 
羊角天麻,治疗乳腺炎   Disease:疗乳腺炎 
羊角天麻,腮腺炎   Disease:腮腺炎 
羊角天麻,疮疖   Disease:疮疖 
羊角天麻,肺热咳嗽   Disease:肺热咳嗽 
羊角天麻,头晕   Disease:头晕 
羊角天麻,风湿   Disease:风湿 
羊角天麻,骨折等   Disease:骨折 
羊角天麻,有消炎止痛   Disease:有消炎止痛 
羊角天麻,舒筋活络之效   Disease:舒筋活络 
乌桕,治毒蛇咬伤   Disease:毒蛇咬伤 
蒌叶,治胃寒痛   Disease:胃寒痛 
蒌叶,风寒咳嗽   Disease:风寒咳嗽 
蒌叶,疮疖   Disease:疮疖 
蒌叶,湿疹等   Disease:湿疹 
蒟子,治流感   Disease:流感 
蒟子,胃痛   Disease:胃痛 
蒟子,经痛   Disease:经痛 
蒟子,跌打损伤   Disease:跌打损伤 
蒟子,风湿骨痛等   Disease:风湿骨痛 
聚花草,治疮疖肿毒   Disease:疮疖肿毒 
聚花草,淋巴结肿大   Disease:淋巴结肿大 
聚花草,急性肾炎   Disease:急性肾炎 
卷丝苣苔,治热性腹泻等   Disease:热性腹泻 
蕨叶人字果,治红肿疮毒等症   Disease:红肿疮毒 
蕨叶人字果,贵州草药   Disease:贵州 
蕨叶人字果,第一册   Disease:第一册 
爵床,治腰背痛   Disease:腰背痛 
爵床,创伤等   Disease:创伤 
排草香,治水肿   Disease:水肿 
排草香,浮肿病   Disease:浮肿病 
含羞草,治带状泡疗   Disease:带状 
排骨灵,治外伤出血   Disease:外伤出血 
排骨灵,骨折   Disease:骨折 
排骨灵,跌打损伤   Disease:跌打损伤 
千年不烂心,治小儿惊风   Disease:小儿惊风 
秦岭岩白菜,治急性肠炎   Disease:急性肠炎 
秦岭岩白菜,崩漏   Disease:崩漏 
秦岭岩白菜,白带   Disease:白带 
秦岭岩白菜,痢疾   Disease:痢疾 
秦岭岩白菜,黄水疮等   Disease:黄水疮 
船盔乌头,治疗流感   Disease:流感 
船盔乌头,肝炎   Disease:肝炎 
船盔乌头,天花   
船盔乌头,麻疹等症   Disease:麻疹 
泡花树,治无名肿毒   Disease:无名肿毒 
泡花树,毒蛇咬伤   Disease:毒蛇咬伤 
泡花树,腹胀水肿   Disease:腹胀水肿 
毛花点草,治疗烧烫伤   Disease:疗烧烫伤 
毛花点草,热毒疮   Disease:热毒疮 
毛花点草,湿疹   Disease:湿疹 
毛花点草,肺热咳嗽   Disease:肺热咳嗽 
毛花点草,痰中带血等症   Disease:痰中带血 
小果博落回,治一切恶疮及皮肤病   Disease:一切恶疮 Disease:皮肤病 
蓬莱葛,治关节炎   Disease:关节炎 
蓬莱葛,坐骨神经痛等   Disease:坐骨神经痛 
披针骨牌蕨,治风湿关节痛   Disease:风湿关节痛 
披针骨牌蕨,外伤出血等   Disease:外伤出血 
披针新月蕨,治崩症   Disease:崩症 
披针新月蕨,叶   
红毒茴,治跌打损伤   Disease:跌打损伤 
红毒茴,风湿性关节炎   Disease:风湿性关节炎 
红毒茴,取鲜根皮加酒捣烂敷患处   Disease:取鲜 Disease:皮加 Disease:捣烂 Disease:患处 
红毒茴,治风症   Disease:风症 
红毒茴,种子有毒   Disease:子有毒 
红毒茴,浸出液可杀虫   Disease:浸出 Disease:杀虫 
红毒茴,作土农药   Disease:农药 
枇杷叶紫珠,治慢性风湿性关节炎及肌肉风湿症   Disease:慢性风湿性关节炎 Disease:肉风湿症 
枇杷叶紫珠,福建人民医院草药研究组报告   Disease:福建人民医 Disease:药研究组报 
枇杷叶紫珠,叶可作外伤止血药并   Disease:外伤止血药 
毗黎勒,治风虚热气   Disease:风虚热气 
偏翅唐松草,治风火牙痛   Disease:风火牙痛 
偏翅唐松草,眼痛等症   Disease:眼痛 
偏翅唐松草,昆明民间常用草药   Disease:昆明 Disease:间常 
偏翅唐松草,图96   Disease:图96 
偏花黄芩,治热咳   Disease:热咳 
偏花黄芩,吐血及血痢   Disease:吐血 Disease:血痢 
偏花马兜铃,治消化不良   Disease:消化不良 
偏花马兜铃,胃病气胀   Disease:胃病气胀 
歪头菜,治疗高血压及肝病   Disease:疗高血压 Disease:肝病 
韩信草,治跌打伤   Disease:跌打伤 
韩信草,祛风   Disease:祛风 
韩信草,壮筋骨   Disease:壮筋骨 
川滇柴胡,治疮毒疖子   Disease:疮毒疖子 
苹,治疮痈   Disease:疮痈 
苹,毒蛇咬伤   Disease:毒蛇咬伤 
大黄药,治炭疽   Disease:炭疽 
大黄药,外伤感染   Disease:外伤感染 
大黄药,流感   Disease:流感 
大黄药,流脑   Disease:流脑 
大黄药,感冒   Disease:感冒 
大黄药,咽喉炎   Disease:咽喉炎 
大黄药,扁桃腺炎   Disease:扁桃腺炎 
大黄药,乳腺炎   Disease:乳腺炎 
大黄药,肺炎   Disease:肺炎 
大黄药,支气管炎   Disease:支气管炎 
大黄药,疟疾等症   Disease:疟疾 
大黄药,又配方用于骨折   Disease:配方 Disease:骨折 
坡油甘,治肝炎   Disease:肝炎 
坡油甘,疮毒   Disease:疮毒 
坡油甘,咳嗽   Disease:咳嗽 
坡油甘,蛇伤   Disease:蛇伤 
坡油甘,亦可作牧草   
山芝麻,治疮疖   Disease:疮疖 
仙茅,治阳萎   Disease:阳萎 
仙茅,遗精   Disease:遗精 
仙茅,腰膝冷痛或四肢麻木等症   Disease:腰膝冷痛 Disease:四肢麻木 
匍匐忍冬,治风湿   Disease:风湿 
葡萄叶艾麻,治胃痛   Disease:胃痛 
蒲公英属,治疗急性乳腺炎   Disease:急性乳腺炎 
蒲公英属,淋巴腺炎   Disease:淋巴腺炎 
蒲公英属,疗毒疮肿   Disease:疗毒疮肿 
蒲公英属,急性结膜炎   Disease:急性结膜炎 
蒲公英属,感冒发热   Disease:感冒发热 
蒲公英属,急性扁桃体炎   Disease:急性扁桃体炎 
蒲公英属,急性支气管炎   Disease:急性支气管炎 
蒲公英属,肝炎   Disease:肝炎 
蒲公英属,肿囊炎及尿路感染等   Disease:肿囊炎 Disease:尿路感染 
盐蒿,治疗慢性气管炎及支气管哮喘等   Disease:疗慢性气管炎 Disease:支气管哮喘 
普通鹿蹄草,治肺病   Disease:肺病 
普通鹿蹄草,止咳   Disease:止咳 
普通鹿蹄草,筋骨疼痛等   Disease:筋骨疼痛 
菜头肾,治肾虚   Disease:肾虚 
菜头肾,腰痛等症   Disease:腰痛 
苍白秤钩风,治毒蛇咬伤   Disease:毒蛇咬伤 
石丁香,治营养不良性水肿   Disease:营养不良性水肿 
石丁香,跌打损伤   Disease:跌打损伤 
石丁香,湿疹   Disease:湿疹 
石丁香,肾虚   Disease:肾虚 
石丁香,腰痛   Disease:腰痛 
糙独活,治妇人漏白带   Disease:妇人漏白带 
糙独活,散经周身寒湿疼痛   Disease:经周身寒湿疼痛 
山慈菇,治跌打或蛇伤   Disease:跌打 Disease:蛇伤 
千解草,治疗跌打损伤   Disease:疗跌打损伤 
千解草,风湿关节炎   Disease:风湿关节炎 
千解草,月经不调   Disease:月经不调 
千解草,消化不良等症   Disease:消化不良 
草苁蓉,治肾虚阳萎   Disease:肾虚阳萎 
草苁蓉,腰关节冷痛   Disease:腰关节冷痛 
草苁蓉,便秘等   Disease:便秘 
大叶铁线莲,治风湿关节痛   Disease:风湿关节痛 
大叶铁线莲,结核性溃疡   Disease:结核性溃疡 
大叶铁线莲,瘘管   Disease:瘘管 
大叶铁线莲,山东   Disease:山东 
草果,治痰积聚   Disease:痰积聚 
草果,除瘀消食   Disease:除瘀消食 
草果,截疟疾或作调味香料   Disease:截疟疾 Disease:调味香料 
网脉唐松草,治咳嗽   Disease:咳嗽 
网脉唐松草,感冒等症   Disease:感冒 
草龙,治感冒   Disease:感冒 
草龙,咽喉肿痛   Disease:咽喉肿痛 
草龙,疮疥等   Disease:疮疥 
线纹香茶菜,治急性黄疽型肝炎   Disease:急性黄疽型肝炎 
线纹香茶菜,急性胆囊炎   Disease:急性胆囊炎 
线纹香茶菜,咽喉炎   Disease:咽喉炎 
线纹香茶菜,妇科病   Disease:妇科病 
线纹香茶菜,瘤型麻风   Disease:型麻风 
线纹香茶菜,尚可解草乌中毒   Disease:乌中毒 
筒冠花,治疮毒   Disease:疮毒 
错那蒿,治疗气管炎及肺病等   Disease:疗气管炎 Disease:肺病 
西南叶下珠,治尿道结石   Disease:尿道结石 
绣球藤,治肾炎水肿   Disease:肾炎水肿 
绣球藤,小便涩痛   Disease:小便涩痛 
绣球藤,月经不调   Disease:月经不调 
绣球藤,脚气湿肿   Disease:脚气湿肿 
绣球藤,乳汁不通等症   Disease:乳汁不通 
绣球藤,治心火旺   Disease:心火旺 
绣球藤,心烦失眠   Disease:心烦失眠 
绣球藤,口舌生疮等症   Disease:口舌生疮 
绣球藤,孕妇忌用   Disease:孕妇忌 
绣球藤,秦岭植物志   Disease:秦岭植物 
潺槁木姜子,治腹泻   Disease:腹泻 
潺槁木姜子,外敷   
小紫金牛,治肺结核   Disease:肺结核 
小紫金牛,咯血   Disease:咯血 
小紫金牛,呕血   Disease:呕血 
小紫金牛,跌打损伤   Disease:跌打损伤 
小紫金牛,又   
长瓣马铃苣苔,治跌打损伤等症   Disease:跌打损伤 
长柄唐松草,治肝炎   Disease:肝炎 
长柄唐松草,肝肿大等症   Disease:肝肿大 
长柄唐松草,青海高原植物图鉴   Disease:青海高原植物图鉴 
岩风,治感冒   Disease:感冒 
岩风,咳嗽   Disease:咳嗽 
岩风,牙痛   Disease:牙痛 
岩风,关节肿痛   Disease:关节肿痛 
岩风,跌打损伤   Disease:跌打损伤 
岩风,风湿筋骨痛   Disease:风湿筋骨痛 
长春花,治白血病   Disease:白血病 
长春花,淋巴肿瘤   Disease:淋巴肿瘤 
长春花,肺癌   Disease:肺癌 
长春花,绒毛膜上皮癌   Disease:绒毛膜上皮癌 
长春花,血癌和子宫癌等   Disease:血癌 Disease:子宫癌 
长梗过路黄,治疟疾   Disease:疟疾 
长梗石柑,治跌打   Disease:跌打 
长果丛菔,治肺病   Disease:肺病 
黄三七,治眼结膜炎   Disease:眼结膜炎 
黄三七,口腔炎   Disease:口腔炎 
黄三七,咽炎   Disease:咽炎 
黄三七,肠炎   Disease:肠炎 
黄三七,痢疾等症   Disease:痢疾 
长果微孔草,治   
长花铁线莲,治跌打   Disease:跌打 
长花铁线莲,清寒   Disease:清寒 
长花铁线莲,通经络   Disease:通经络 
长花铁线莲,四川   Disease:四川 
长花铁线莲,康定   Disease:康定 
长花铁线莲,治口舌生疮   Disease:口舌生疮 
长花铁线莲,乳汁不通   Disease:乳汁不通 
长花铁线莲,肠炎痢疾   Disease:肠炎痢疾 
长花铁线莲,肾炎淋病等   Disease:肾炎淋病 
长花铁线莲,四川   Disease:四川 
长花铁线莲,若尔盖   Disease:若尔盖 
长裂乌头,治发烧和炭疽病   Disease:发烧 Disease:炭疽病 
长裂乌头,药学学报   Disease:药学学报 
长裂乌头,12卷10期   Disease:12卷10期 
长毛香科科,治痧症   Disease:痧症 
长蕊石头花,治蚜虫   Disease:蚜虫 
长蕊石头花,红蜘蛛   Disease:红蜘蛛 
长蕊石头花,地老虎等   Disease:地老虎 
长蕊石头花,还可洗涤毛   Disease:涤毛 
长蕊石头花,丝织品   Disease:丝织品 
长序荆,治眼病   Disease:眼病 
长序荆,《云南植物志》   Disease:云南植物 
长序山芝麻,治发热症   Disease:发热症 
猫乳,治疥疮   Disease:疥疮 
长叶酸藤子,治产后腹痛   Disease:产后腹痛 
长叶酸藤子,肾炎水肿   Disease:肾炎水肿 
长叶酸藤子,肠炎腹泻   Disease:肠炎腹泻 
长叶酸藤子,跌打散瘀等   Disease:跌打 
长叶酸藤子,有利尿消肿   Disease:有利尿消肿 
长叶酸藤子,散瘀痛的功效   Disease:瘀痛 Disease:功效 
长叶苎麻,治感冒   Disease:感冒 
长叶苎麻,风湿关节炎等症   Disease:风湿关节炎 
针筒菜,治久痢   Disease:久痢 
针筒菜,病久虚弱及外伤出血   Disease:病久虚弱 Disease:外伤出血 
鹿蹄草,治虚痨   Disease:虚痨 
鹿蹄草,止咳   Disease:止咳 
鹿蹄草,强筋健骨   Disease:强筋健骨 
朝鲜白头翁,治阿米巴痢疾   Disease:阿米巴痢疾 
朝鲜白头翁,疟疾   Disease:疟疾 
朝鲜白头翁,金疮   Disease:金疮 
朝鲜白头翁,妇女闭经等症   Disease:妇女闭经 
豹皮樟,治疗胃脘胀痛   Disease:疗胃脘胀痛 
朝鲜铁线莲,治疮及痔疮   Disease:痔疮 
朝鲜铁线莲,辽宁   Disease:辽宁 
还亮草,治风湿骨痛   Disease:风湿骨痛 
还亮草,外涂   Disease:外涂 
橙色鼠尾草,治头晕   Disease:头晕 
橙色鼠尾草,风湿痛   Disease:风湿痛 
橙色鼠尾草,并云有补肾的功效   Disease:云有补肾的功效 
齿叶景天,治跌打损伤   Disease:跌打损伤 
齿叶景天,骨折扭伤   Disease:骨折扭伤 
齿叶景天,青肿疼痛   Disease:青肿疼痛 
锈毛铁线莲,治疮毒   Disease:疮毒 
锈毛铁线莲,云南药用植名录   Disease:云南药 Disease:植名录 
锈毛铁线莲,治角膜炎   Disease:角膜炎 
锈毛铁线莲,四肢痛   Disease:四肢痛 
锈毛铁线莲,广西   Disease:广西 
赤豆,治水肿脚气   Disease:水肿脚气 
赤豆,泻痢   Disease:泻痢 
赤豆,痈肿   Disease:痈肿 
赤豆,并为缓和的清热解毒药及利尿药   Disease:清热解毒药 Disease:利尿药 
赤豆,治各种肿毒   Disease:各种肿毒 
天麻,治疗头晕目眩   Disease:疗头晕目眩 
天麻,肢体麻木   Disease:肢体麻木 
天麻,小儿惊风等症   Disease:小儿惊风 
麻叶荨麻,治风湿   Disease:风湿 
麻叶荨麻,糖尿病   Disease:糖尿病 
麻叶荨麻,解虫咬等   Disease:解虫咬 
栓叶安息香,治风湿关节痛等   Disease:风湿关节痛 
厚叶算盘子,治跌打   Disease:跌打 
厚叶算盘子,风湿   Disease:风湿 
厚叶算盘子,脱肛   Disease:脱肛 
厚叶算盘子,子宫下垂   Disease:子宫下垂 
厚叶算盘子,白带   Disease:白带 
厚叶算盘子,泄泻   Disease:泄泻 
厚叶算盘子,肝炎   Disease:肝炎 
厚叶算盘子,治牙痛等   Disease:牙痛 
短瓣花,治风湿和跌打损伤   Disease:风湿 Disease:跌打损伤 
马缨丹,治疟疾   Disease:疟疾 
马缨丹,肺结核   Disease:肺结核 
马缨丹,颈淋巴结核   Disease:颈淋巴结核 
马缨丹,腮腺炎   Disease:腮腺炎 
马缨丹,胃痛   Disease:胃痛 
马缨丹,风湿骨痛等   Disease:风湿骨痛 
马缨丹,《海南植物志》   Disease:《海南植物 
臭棘豆,治皮炎   Disease:皮炎 
臭棘豆,解毒   Disease:解毒 
臭棘豆,便秘   Disease:便秘 
臭棘豆,外敷能消肿   Disease:消肿 
臭节草,治风寒感冒   Disease:风寒感冒 
臭节草,咽喉炎   Disease:咽喉炎 
臭节草,腮腺炎   Disease:腮腺炎 
臭节草,支气管炎   Disease:支气管炎 
臭节草,皮下瘀血等   Disease:皮下瘀血 
臭牡丹,治疗子宫脱垂   Disease:疗子宫脱垂 
梓,治肾脏病   Disease:肾脏病 
梓,肾气膀胱炎   Disease:肾气膀胱炎 
梓,肝硬化   Disease:肝硬化 
梓,腹水   Disease:腹水 
梓,治疥疮   Disease:疥疮 
棕叶狗尾草,治脱肛   Disease:脱肛 
棕叶狗尾草,子宫脱垂   Disease:子宫脱垂 
楮头红,治耳鸣及目雾等症或祛肝火   Disease:耳鸣 Disease:目雾 Disease:祛肝火 
川滇变豆菜,治风湿关节疼痛   Disease:风湿关节疼痛 
川滇变豆菜,跌打损伤   Disease:跌打损伤 
川滇变豆菜,治肺结核   Disease:肺结核 
川滇变豆菜,肾虚腰疼   Disease:肾虚腰疼 
川滇变豆菜,头昏   Disease:头昏 
小木通,治尿路感染   Disease:尿路感染 
小木通,小便不利   Disease:小便不利 
小木通,肾炎水肿   Disease:肾炎水肿 
小木通,闭经   Disease:闭经 
小木通,乳汁不通   Disease:乳汁不通 
小木通,治风湿   Disease:风湿 
小木通,月经不调   Disease:月经不调 
小木通,胃痛   Disease:胃痛 
小木通,小儿麻痹后遗症   Disease:小儿麻痹后遗症 
小木通,云南药用植物名录   Disease:云南药 Disease:植物名录 
小木通,治外伤后的腐肉   Disease:外伤后 
小木通,研粉外用   Disease:研粉外 
小木通,及腰腿痛   Disease:腰腿痛 
小木通,但患肠胃溃疡者禁服   Disease:但患肠胃溃 Disease:者禁 
小木通,治乳娥   Disease:乳娥 
小木通,治桥虫   Disease:桥虫 
小木通,菜青虫   Disease:菜青虫 
小木通,地老虎   Disease:地老虎 
小木通,瓢虫等   Disease:瓢虫 
小木通,秦岭植物志   Disease:秦岭植物 
紫金龙,治各种疼痛   Disease:各种疼痛 
紫金龙,高血压   Disease:高血压 
紫金龙,血崩   Disease:血崩 
紫金龙,内伤出血   Disease:内伤出血 
紫金龙,跌打损伤   Disease:跌打损伤 
川西小黄菊,治跌打损伤   Disease:跌打损伤 
川西小黄菊,湿热   Disease:湿热 
川芎,治头痛旋晕   Disease:头痛旋晕 
川芎,肋痛腹疼   Disease:肋痛腹疼 
川芎,经闭   Disease:经闭 
川芎,难产   Disease:难产 
川芎,痈疽疮疡等症   Disease:痈疽疮疡 
穿龙薯蓣,治腰腿疼痛   Disease:腰腿疼痛 
穿龙薯蓣,筋骨麻木   Disease:筋骨麻木 
穿龙薯蓣,跌打损伤   Disease:跌打损伤 
穿龙薯蓣,咳嗽喘息   Disease:咳嗽喘息 
异形南五味子,治风湿骨痛   Disease:风湿骨痛 
异形南五味子,跌打损伤   Disease:跌打损伤 
毛柱铁线莲,治风寒感冒   Disease:风寒感冒 
毛柱铁线莲,胃痛   Disease:胃痛 
毛柱铁线莲,闭经   Disease:闭经 
毛柱铁线莲,跌打瘀肿   Disease:跌打瘀肿 
毛柱铁线莲,风湿麻木   Disease:风湿麻木 
毛柱铁线莲,腰痛   Disease:腰痛 
毛柱铁线莲,云南药用植物名录   Disease:云南药 Disease:植物名录 
垂序商陆,治水肿   Disease:水肿 
垂序商陆,白带   Disease:白带 
垂序商陆,风湿   Disease:风湿 
垂序商陆,并有催吐作用   Disease:催吐 
垂序商陆,治脚气   Disease:脚气 
垂序商陆,治无名肿毒及皮肤寄生虫病   Disease:无名肿毒 Disease:皮肤寄生虫病 
展毛银莲花,治牲畜疥癣   Disease:牲畜疥癣 
椿叶花椒,治风湿骨痛   Disease:风湿骨痛 
椿叶花椒,跌打肿痛   Disease:跌打肿痛 
椿叶花椒,治中暑   Disease:中暑 
椿叶花椒,感冒   Disease:感冒 
刺齿唇柱苣苔,治风湿骨痛等症   Disease:风湿骨痛 
大叶臭花椒,治多类痛症   Disease:多类痛症 
雀梅藤,治疮疡肿毒   Disease:疮疡肿毒 
雀梅藤,治咳嗽   Disease:咳嗽 
雀梅藤,降气化痰   Disease:降气化 
刺瓜,治神经衰弱   Disease:神经衰弱 
刺瓜,慢性肾炎   Disease:慢性肾炎 
刺瓜,睾丸炎   Disease:睾丸炎 
刺瓜,血尿闭经   Disease:血尿闭经 
刺瓜,肺结核   Disease:肺结核 
刺瓜,肝炎等   Disease:肝炎 
刺黑珠,治痢疾   Disease:痢疾 
刺黑珠,腹泻   Disease:腹泻 
刺黑珠,红肿等症   Disease:红肿 
红花,治妇女病   Disease:妇女病 
刺黄花,治眼病等   Disease:眼病 
缫丝花,治痢疾   Disease:痢疾 
刺藜,治荨麻疹及皮肤瘙痒   Disease:荨麻疹 Disease:皮肤瘙痒 
刺葡萄,治筋骨伤痛   Disease:筋骨伤痛 
刺蒴麻,治毒疮及肾结石   Disease:毒疮 Disease:肾结石 
