HudongItem1,relation,HudongItem2
新宁新木姜子,parent taxon,新木姜子属
新疆远志,parent taxon,远志属
新疆早熟禾,parent taxon,早熟禾属
新疆云杉,parent taxon,云杉属
新疆玄参,parent taxon,玄参属
新疆野苹果,parent taxon,苹果属
新疆野决明,parent taxon,野决明属
新疆缬草,parent taxon,缬草属
新疆细叶芹,parent taxon,细叶芹属
新疆沙参,parent taxon,沙参属
新疆鼠李,parent taxon,鼠李属
新疆三肋果,parent taxon,三肋果属
新疆绒果芹,parent taxon,绒果芹属
新疆千里光,parent taxon,千里光属
新疆匹菊,parent taxon,除虫菊
新疆女蒿,parent taxon,女蒿属
新疆南芥,parent taxon,南芥属
新疆梅花草,parent taxon,梅花草属
新疆毛连菜,parent taxon,毛连菜属
新疆丽豆,parent taxon,丽豆属
新疆蓼,parent taxon,蓼属
新疆柳叶菜,parent taxon,柳叶菜属
新疆锦鸡儿,parent taxon,锦鸡儿属
新疆假龙胆,parent taxon,假龙胆属
新疆棘豆,parent taxon,棘豆属
新疆拉拉藤,parent taxon,拉拉藤属
新疆火烧兰,parent taxon,火烧兰属
新疆黄精,parent taxon,黄精属
新疆黄堇,parent taxon,紫堇属
新疆花葵,parent taxon,花葵属
新疆鹤虱,parent taxon,鹤虱属
新疆旱禾,parent taxon,禾本科
新疆海罂粟,parent taxon,海罂粟属
新疆枸杞,parent taxon,枸杞属
新疆风毛菊,parent taxon,风毛菊属
新疆方枝柏,parent taxon,圆柏属
新疆顶冰花,parent taxon,顶冰花属
新疆大蒜芥,parent taxon,大蒜芥属
新疆党参,parent taxon,党参属
新店獐牙菜,parent taxon,獐牙菜属
新风轮,parent taxon,新风轮属
新耳草,parent taxon,新耳草属
新粗管马先蒿,parent taxon,马先蒿属
新多穗薹草,parent taxon,薹草属
新耳草属,parent taxon,茜草科
新都桥乌头,parent taxon,乌头属
辛果漆属,parent taxon,漆树科
心脏叶瓶尔小草,parent taxon,瓶尔小草属
心叶小檗,parent taxon,小檗属
心叶乌蔹莓,parent taxon,乌蔹莓属
心叶小花苣苔,parent taxon,小花苣苔属
心叶香草,parent taxon,珍珠菜属
心叶野靛棵,parent taxon,野靛棵属
心叶野荞麦,parent taxon,荞麦属
心叶橐吾,parent taxon,橐吾属
心叶天名精,parent taxon,天名精属
心叶碎米荠,parent taxon,碎米荠属
心叶兔儿风,parent taxon,兔儿风属
心叶素馨,parent taxon,素馨属
心叶石蚕,parent taxon,心叶石蚕属
心叶蛇根草,parent taxon,蛇根草属
心叶舌喙兰,parent taxon,舌喙兰属
心叶棱子芹,parent taxon,棱子芹属
心叶虎耳草,parent taxon,虎耳草属
心叶大黄,parent taxon,大黄属
心叶稷,parent taxon,黍属
心叶斑籽,parent taxon,斑籽属
心檐南星,parent taxon,天南星属
心形沙拐枣,parent taxon,沙拐枣属
心卵叶四轮香,parent taxon,四轮香属
心冀果,parent taxon,心翼果属
心冀果,taxon synonym,大心翼果
心果婆婆纳,parent taxon,婆婆纳属
心萼薯属,parent taxon,旋花科
心冀果,basionym,心冀果
心萼薯,parent taxon,心萼薯属
心萼凤仙花,parent taxon,凤仙花属
谢米诺夫棘豆,parent taxon,棘豆属
缬草属,parent taxon,败酱科
缬草,parent taxon,缬草属
缬草属,parent taxon,忍冬科
斜叶蒟,parent taxon,胡椒属
斜叶百里香,parent taxon,百里香属
斜须裂稃草,parent taxon,裂稃草属
斜升秦艽,parent taxon,龙胆属
斜脉石楠,parent taxon,石楠属
斜脉假卫矛,parent taxon,假卫矛属
斜脉粗叶木,parent taxon,粗叶木属
斜脉暗罗,parent taxon,暗罗属
斜茎獐牙菜,parent taxon,獐牙菜属
斜萼糙苏,parent taxon,糙苏属
斜萼草,parent taxon,斜萼草属
蝎子草,parent taxon,蝎子草属
蝎子草属,parent taxon,荨麻科
蝎尾山蚂蝗,parent taxon,山蚂蝗属
蝎尾菊属,parent taxon,菊科
蝎尾菊,parent taxon,蝎尾菊属
斜瓣翻唇兰,parent taxon,翻唇兰属
蝎虎驼蹄瓣,parent taxon,霸王属
楔颖草,parent taxon,楔颖草属
楔翼锦鸡儿,parent taxon,锦鸡儿属
楔叶獐牙菜,parent taxon,獐牙菜属
楔叶绣线菊,parent taxon,绣线菊属
楔叶委陵菜,parent taxon,委陵菜属
楔叶滇芎,parent taxon,滇芎属
楔叶叉柱花,parent taxon,叉柱花属
楔苞楼梯草,parent taxon,楼梯草属
肖竹芋属,parent taxon,竹芋科
肖竹芋,parent taxon,肖竹芋属
肖鸢尾属,parent taxon,鸢尾科
肖散柱茶,parent taxon,山茶属
肖蒲桃,parent taxon,肖蒲桃属
楔叶糙苏,parent taxon,糙苏属
肖笼鸡,parent taxon,马蓝属
肖榄属,parent taxon,茶茱萸科
肖长尖连蕊茶,parent taxon,山茶属
肖糙果茶,parent taxon,山茶属
肖菝葜,parent taxon,肖菝葜属
小钻杨,parent taxon,杨属
筱竹属,parent taxon,禾本科
小紫金牛,parent taxon,紫金牛属
小紫金牛,taxon synonym,五花紫金牛
小沼兰,parent taxon,沼兰属
小泽泻,parent taxon,泽泻属
小朱兰,parent taxon,朱兰属
小早熟禾,parent taxon,早熟禾属
小株鹅观草,parent taxon,鹅观草属
小掌叶毛茛,parent taxon,毛茛属
小圆叶冬青,parent taxon,冬青
小鸢尾,parent taxon,鸢尾属
小玉叶金花,parent taxon,玉叶金花属
小玉竹,parent taxon,黄精属
小叶云实,parent taxon,云实属
小叶野扁豆,parent taxon,野扁豆属
小叶章,parent taxon,野青茅属
小叶野海棠,parent taxon,野海棠属
小叶珍珠菜,parent taxon,珍珠菜属
小叶杨,parent taxon,杨属
小叶眼树莲,parent taxon,眼树莲属
小叶阴地蕨,parent taxon,阴地蕨属
小叶亚麻荠,parent taxon,亚麻荠属
小叶栒子,parent taxon,栒子属
小叶唐松草,parent taxon,唐松草属
小叶水锦树,parent taxon,水锦树属
小叶碎米荠,parent taxon,碎米荠属
小叶鼠李,parent taxon,鼠李属
小叶石楠,parent taxon,石楠属
小叶石梓,parent taxon,石梓属
小叶石豆兰,parent taxon,石豆兰属
小叶十大功劳,parent taxon,十大功劳属
小叶山檨子,parent taxon,山檨子属
小叶散爵床,parent taxon,爵床属
小叶橐吾,parent taxon,橐吾属
小叶三点金,parent taxon,山蚂蝗属
小叶肉穗草,parent taxon,肉穗草属
小叶忍冬,parent taxon,忍冬属
小叶秋海棠,parent taxon,秋海棠属
小叶青冈,parent taxon,栎属
小叶毛茛,parent taxon,毛茛属
小叶马蹄香,parent taxon,细辛属
小叶木犀榄,parent taxon,木犀榄属
小叶螺序草,parent taxon,螺序草属
小叶罗汉松,parent taxon,罗汉松属
小叶轮钟草,parent taxon,党参属
小叶鹿蹄草,parent taxon,鹿蹄草属
小叶楼梯草,parent taxon,楼梯草属
小叶龙竹,parent taxon,牡竹属
小叶六道木,parent taxon,六道木属
小叶铃子香,parent taxon,铃子香属
小叶锦鸡儿,parent taxon,锦鸡儿属
小叶金缕梅,parent taxon,金缕梅属
小叶红叶藤,parent taxon,红叶藤属
小叶荩草,parent taxon,荩草属
小叶桦,parent taxon,桦木属
小叶棘豆,parent taxon,棘豆属
小叶厚皮香,parent taxon,厚皮香属
小叶红豆,parent taxon,红豆属
小叶黑面神,parent taxon,黑面神属
小叶海桐,parent taxon,海桐花属
小叶金露梅,parent taxon,委陵菜属
小叶荚蒾,parent taxon,荚蒾属
小叶鹅掌柴,parent taxon,鹅掌柴属
小叶粗叶木,parent taxon,粗叶木属
小叶楤木,parent taxon,楤木属
小叶垂头菊,parent taxon,垂头菊属
小叶大节竹,parent taxon,大节竹属
小叶半脊荠,parent taxon,半脊荠属
小叶地不容,parent taxon,千金藤属
小叶白辛树,parent taxon,白辛树属
小叶白点兰,parent taxon,白点兰属
小叶菝葜,parent taxon,菝葜属
小叶安息香,parent taxon,安息香属
小野芝麻属,parent taxon,野芝麻属
小野荞麦,parent taxon,荞麦属
小药早熟禾,parent taxon,早熟禾属
小药猪毛菜,taxon synonym,小药猪毛菜
小药猪毛菜,basionym,小药猪毛菜
小鸦葱,parent taxon,鸦葱属
小新塔花,parent taxon,新塔花属
小星无心菜,parent taxon,无心菜属
小星穗薹草,parent taxon,薹草属
小缬草,parent taxon,缬草属
小小斑叶兰,parent taxon,斑叶兰属
小香蒲,parent taxon,香蒲属
小莕菜,parent taxon,莕菜属
小香薷,parent taxon,姜味草属
小香竹,parent taxon,香竹属
小鸦跖花,parent taxon,鸦跖花属
小腺无心菜,parent taxon,无心菜属
小喜盐草,parent taxon,喜盐草属
小觿茅,parent taxon,觿茅属
小卫矛,parent taxon,卫矛属
小瓦松,parent taxon,瓦松属
小娃娃皮,parent taxon,瑞香属
小兔儿风,parent taxon,兔儿风属
小头蓼,parent taxon,蓼属
小头橐吾,parent taxon,橐吾属
小头风毛菊,parent taxon,风毛菊属
小头花香薷,parent taxon,香薷属
小水毛茛,parent taxon,水毛茛属
小酸浆,parent taxon,酸浆属
小酸模,parent taxon,酸模属
小穗臭草,parent taxon,臭草属
小石积,parent taxon,小石积属
小石花,parent taxon,珊瑚苣苔属
小蒜芥属,parent taxon,十字花科
小石蝴蝶,parent taxon,石蝴蝶属
小狮子草,parent taxon,水蓑衣属
小石果连蕊茶,parent taxon,山茶属
小升麻,parent taxon,升麻属
小舌菊属,parent taxon,菊科
小舌唇兰,parent taxon,舌唇兰属
小舌菊,parent taxon,小舌菊属
小舌风毛菊,parent taxon,风毛菊属
小球花蒿,parent taxon,蒿属
小青杨,parent taxon,杨属
小球棘豆,parent taxon,棘豆属
小窃衣,parent taxon,窃衣属
小茄,parent taxon,珍珠菜属
小巧玉凤花,parent taxon,玉凤花属
小巧羊蹄甲,parent taxon,羊蹄甲属
小巧舌唇兰,parent taxon,舌唇兰属
小乔木紫金牛,parent taxon,紫金牛属
小牛鞭草,parent taxon,牛鞭草属
小牵牛属,parent taxon,旋花科
小盘木,parent taxon,小盘木属
小泡虎耳草,parent taxon,虎耳草属
小蘖叶蔷薇,parent taxon,蔷薇属
小片齿唇兰,parent taxon,开唇兰属
小念珠芥,parent taxon,念珠芥属
小南星,parent taxon,天南星属
小南蛇藤,parent taxon,南蛇藤属
小苜蓿,parent taxon,苜蓿
小密早熟禾,parent taxon,早熟禾属
小米辣,parent taxon,辣椒属
小米草,parent taxon,小米草属
小毛小檗,parent taxon,小檗属
小木通,parent taxon,铁线莲属
小毛兰,parent taxon,毛兰属
小芒虎耳草,parent taxon,虎耳草属
小露兜,parent taxon,露兜树属
小菱叶蓝钟花,parent taxon,蓝钟花属
小琉球马齿苋,parent taxon,马齿苋属
小鹭鸶草,parent taxon,吊兰属
小瘤足蕨,parent taxon,瘤足蕨科
小裂叶荆芥,parent taxon,裂叶荆芥属
小蓼花,parent taxon,蓼属
小亮苞蒿,parent taxon,蒿属
小连翘,parent taxon,金丝桃属
小笠原卷柏,parent taxon,卷柏
小瘤果茶,parent taxon,山茶属
小丽茅,parent taxon,野青茅属
小丽草属,parent taxon,禾本科
小丽草,parent taxon,小丽草属
小藜,parent taxon,藜属
小肋五月茶,parent taxon,五月茶属
小簕竹,parent taxon,簕竹属
小孔颖草,parent taxon,孔颖草属
小空竹,parent taxon,空竹属
小聚花溲疏,parent taxon,溲疏属
小卷柏,parent taxon,卷柏
小节眼子菜,parent taxon,眼子菜属
小尖隐子草,parent taxon,隐子草属
小菅草,parent taxon,菅属
小尖风毛菊,parent taxon,风毛菊属
小尖堇菜,parent taxon,堇菜属
小尖囊兰,parent taxon,尖囊兰属
小金冬青,parent taxon,冬青
小喙唐松草,parent taxon,唐松草属
小鸡藤,parent taxon,山黑豆属
小芨芨草,parent taxon,芨芨草属
小黄紫堇,parent taxon,紫堇属
小黄金鸭嘴草,parent taxon,鸭嘴草属
小黄花鸢尾,parent taxon,鸢尾属
小黄花龙胆,parent taxon,龙胆属
小黄花茶,parent taxon,山茶属
小茴香,parent taxon,茴香属
小花锥花,parent taxon,锥花属
小花鸢尾兰,parent taxon,鸢尾兰属
小花紫金牛,parent taxon,紫金牛属
小花折柄茶,parent taxon,折柄茶属
小花远志,parent taxon,远志属
小花紫草,parent taxon,紫草属
小花蜘蛛抱蛋,parent taxon,蜘蛛抱蛋属
小花鸢尾,parent taxon,鸢尾属
小花玉凤花,parent taxon,玉凤花属
小花蝇子草,parent taxon,蝇子草属
小花野古草,parent taxon,野古草属
小花野葛,parent taxon,葛属
小花羊奶子,parent taxon,胡颓子属
小花玄参,parent taxon,玄参属
小花缬草,parent taxon,缬草属
小花小蒜芥,parent taxon,小蒜芥属
小花小檗,parent taxon,小檗属
小花香槐,parent taxon,香槐属
小花五味子,parent taxon,五味子属
小花鼠刺,parent taxon,鼠刺属
小花舌唇兰,parent taxon,舌唇兰属
小花石楠,parent taxon,石楠属
小花使君子,parent taxon,使君子属
小花山桃草,parent taxon,山桃草属
小花山姜,parent taxon,山姜属
小花人字果,parent taxon,人字果属
小花荛花,parent taxon,荛花属
小花水柏枝,parent taxon,水柏枝属
小花沙参,parent taxon,沙参属
小花荵,parent taxon,花荵属
小花秋海棠,parent taxon,秋海棠属
小花蜻蜓兰,parent taxon,蜻蜓兰属
小花清风藤,parent taxon,清风藤属
小花檬果樟,parent taxon,檬果樟属
小花轮钟草,parent taxon,党参属
小花柳叶箬,parent taxon,柳叶箬属
小花毛建草,parent taxon,青兰属
小花柳叶菜,parent taxon,柳叶菜属
小花鹿角藤,parent taxon,大叶鹿角藤
小花凉粉草,parent taxon,仙草
小花马先蒿,parent taxon,马先蒿属
小花毛果草,parent taxon,毛果草属
小花藜芦,parent taxon,藜芦属
小花老鼠簕,parent taxon,老鼠簕属
小花离子芥,parent taxon,离子芥属
小花阔蕊兰,parent taxon,阔蕊兰属
小花栝楼,parent taxon,栝楼属
小花苣苔,parent taxon,小花苣苔属
小花尖叶木,parent taxon,尖叶木属
小花蝴蝶草,parent taxon,蝴蝶草属
小花假卫矛,parent taxon,假卫矛属
小花红花荷,parent taxon,红花荷属
小花后蕊苣苔,parent taxon,后蕊苣苔属
小花鬼针草,parent taxon,鬼针草
小花花椒,parent taxon,花椒
小花凤仙花,parent taxon,凤仙花属
小花假糙苏,parent taxon,假糙苏属
小花风毛菊,parent taxon,风毛菊属
小花黄堇,parent taxon,紫堇属
小花吊兰,parent taxon,吊兰属
小花地杨梅,parent taxon,地杨梅属
小花地笋,parent taxon,地笋属
小花地不容,parent taxon,千金藤属
小花灯心草,parent taxon,灯心草属
小花八角,parent taxon,八角属
小花暗罗,parent taxon,暗罗属
小花半葫芭苔,parent taxon,半蒴苣苔属
小红参,parent taxon,拉拉藤属
小虎耳草,parent taxon,虎耳草属
小花八角枫,parent taxon,八角枫属
小黑杨,parent taxon,杨属
小胡颓子,parent taxon,胡颓子属
小横蒴苣苔,parent taxon,横蒴苣苔属
小果皂荚,parent taxon,皂荚属
小果枣,parent taxon,枣属
小果野桐,parent taxon,野桐属
小果野蕉,parent taxon,芭蕉属
小果润楠,parent taxon,润楠属
小果肉托果,parent taxon,肉托果属
小果十大功劳,parent taxon,十大功劳属
小果七叶树,parent taxon,七叶树属
小果蒲公英,parent taxon,蒲公英
小果葡萄,parent taxon,葡萄属
小果排草,parent taxon,珍珠菜属
小果南蛇藤,parent taxon,南蛇藤属
小果毛蕊茶,parent taxon,山茶属
小果冬青,parent taxon,冬青
小果鹤虱,parent taxon,鹤虱属
小果草,parent taxon,微果草属
小果博落回,parent taxon,博落回属
小果海桐,parent taxon,海桐花属
小果滨藜,parent taxon,小果滨藜属
小果滨藜属,taxonomic type,小果滨藜
小果白刺,parent taxon,白刺属
小果菝葜,parent taxon,菝葜属
小灌木南芥,parent taxon,南芥属
小风毛菊,parent taxon,风毛菊属
小二仙草属,parent taxon,小二仙草科
小芙蓉,parent taxon,地黄连属
小二仙草,parent taxon,小二仙草属
小耳褶龙胆,parent taxon,龙胆属
小甘菊属,parent taxon,菊科
小萼瓜馥木,parent taxon,瓜馥木属
小萼马先蒿,parent taxon,马先蒿属
小灯心草,parent taxon,灯心草属
小丛红景天,parent taxon,红景天属
小翠云,parent taxon,卷柏
小唇马先蒿,parent taxon,马先蒿属
小唇盆距兰,parent taxon,盆距兰属
小赤车,parent taxon,赤车属
小垂头菊,parent taxon,垂头菊属
小齿锥花,parent taxon,锥花属
小齿野靛棵,parent taxon,野靛棵属
小齿龙胆,parent taxon,龙胆属
小齿堇菜,parent taxon,堇菜属
小赤麻,parent taxon,苎麻属
小齿唇兰,parent taxon,开唇兰属
小车前,parent taxon,车前属
小柴胡,parent taxon,柴胡属
小草沙蚕,parent taxon,草沙蚕属
小斑虎耳草,parent taxon,虎耳草属
象牙参,parent taxon,象牙参属
象牙树,parent taxon,柿
象腿蕉属,parent taxon,芭蕉科
象草,parent taxon,狼尾草属
湘南星,parent taxon,天南星属
湘桂羊角芹,parent taxon,羊角芹属
湘桂柿,parent taxon,柿
箱根乱子草,parent taxon,乱子草属
箱根野青茅,parent taxon,野青茅属
湘桂栝楼,parent taxon,栝楼属
湘楠,parent taxon,楠属
香竹,parent taxon,香竹属
香叶蒿,parent taxon,蒿属
香桃木,parent taxon,香桃木属
香青属,parent taxon,菊科
香露兜,parent taxon,露兜树属
香楠,parent taxon,润楠属
香蓼,basionym,香蓼
香槐,parent taxon,香槐属
香桦,instance of,桦木属
香花枇杷,parent taxon,枇杷属
香荚蒾,parent taxon,荚蒾属
香花指甲兰,parent taxon,指甲兰属
香花木姜子,parent taxon,木姜子属
香根草,parent taxon,金须茅属
香果新木姜子,parent taxon,新木姜子属
香根鸢尾,parent taxon,鸢尾属
香港珍珠茅,parent taxon,珍珠茅属
香港算盘子,parent taxon,算盘子属
香港四照花,parent taxon,山茱萸属
香港双袋兰,parent taxon,双袋兰属
香酚草,parent taxon,香茅
香短星菊,parent taxon,短星菊属
香港带唇兰,parent taxon,带唇兰属
香附子,parent taxon,莎草属
香冬青,parent taxon,冬青
香港斑叶兰,parent taxon,斑叶兰属
香茶菜属,parent taxon,唇形科
香橙,parent taxon,柑橘属
腺叶杨桐,parent taxon,杨桐属
乡城百合,parent taxon,百合属
腺叶醉鱼草,parent taxon,醉鱼草属
腺叶藤,parent taxon,腺叶藤属
腺叶香茶菜,parent taxon,香茶菜属
腺叶素馨,parent taxon,素馨属
腺叶鳝藤,parent taxon,鳝藤属
腺缘山矾,parent taxon,山矾属
腺叶山矾,parent taxon,山矾属
腺叶桤叶树,parent taxon,珍珠菜
腺叶木犀榄,parent taxon,木犀榄属
腺鼠刺,parent taxon,鼠刺属
腺序点地梅,parent taxon,点地梅属
腺毛蝇子草,parent taxon,蝇子草属
腺毛淫羊藿,parent taxon,三枝九叶草
腺毛阴行草,parent taxon,阴行草属
腺毛香简草,parent taxon,香简草属
腺毛委陵菜,parent taxon,委陵菜属
腺毛唐松草,parent taxon,唐松草属
腺毛千斤拔,parent taxon,千斤拔属
腺毛泡花树,parent taxon,泡花树属
腺毛蒿,parent taxon,蒿属
腺毛肺草,parent taxon,肺草属
腺毛粉条儿菜,parent taxon,粉条儿菜属
腺毛繁缕,parent taxon,繁缕属
腺毛播娘蒿,parent taxon,播娘蒿属
腺毛半蒴苣苔,parent taxon,半蒴苣苔属
腺毛风毛菊,parent taxon,风毛菊属
腺脉蒟,parent taxon,胡椒属
腺毛垂头菊,parent taxon,垂头菊属
腺毛长蒴苣苔,parent taxon,长蒴苣苔属
腺萼碎米荠,parent taxon,碎米荠属
腺梗蔷薇,parent taxon,蔷薇属
腺萼木,parent taxon,腺萼木属
腺冠醉鱼草,parent taxon,醉鱼草属
腺萼落新妇,parent taxon,落新妇属
腺萼长蒴苣苔,parent taxon,长蒴苣苔属
腺齿蔷薇,parent taxon,蔷薇属
腺齿省沽油,parent taxon,省沽油属
线枝蒲桃,parent taxon,蒲桃属
线状穗莎草,parent taxon,莎草属
线柱苣苔,parent taxon,线柱苣苔属
线叶野荞麦,parent taxon,荞麦属
线叶旋花,parent taxon,旋花属
线叶石韦,parent taxon,石韦属
线叶嵩草,parent taxon,嵩草属
线叶球兰,parent taxon,球兰属
线叶南星,parent taxon,天南星属
线叶龙胆,parent taxon,龙胆属
线叶蒿,parent taxon,蒿属
线药算盘子,parent taxon,算盘子属
线形草沙蚕,parent taxon,草沙蚕属
线序剪股颖,parent taxon,剪股颖属
线形嵩草,parent taxon,嵩草属
线棘豆,parent taxon,棘豆属
线果高原芥,parent taxon,高原芥属
线果芥,parent taxon,线果芥属
线萼山梗菜,parent taxon,半边莲属
线梗拉拉藤,parent taxon,拉拉藤属
线萼粗叶木,parent taxon,粗叶木属
线齿香茶菜,parent taxon,香茶菜属
线苞两型豆,parent taxon,两型豆属
显子草,parent taxon,显子草属
藓叶卷瓣兰,parent taxon,石豆兰属
显子草属,parent taxon,禾本科
蚬木,parent taxon,蚬木属
藓生马先蒿,parent taxon,马先蒿属
显脉香茶菜,parent taxon,香茶菜属
显脉野木瓜,parent taxon,野木瓜属
显脉雪兔子,parent taxon,风毛菊属
显脉石韦,parent taxon,石韦属
显脉石蝴蝶,parent taxon,石蝴蝶属
显脉山莓草,parent taxon,山莓草属
显脉冬青,parent taxon,冬青
显脉拉拉藤,parent taxon,拉拉藤属
显脉红花荷,parent taxon,红花荷属
显脉荚蒾,parent taxon,荚蒾属
显脉黄芩,parent taxon,黄芩属
显脉大参,parent taxon,大参属
显脉垂头菊,parent taxon,垂头菊属
显盔马先蒿,parent taxon,马先蒿属
显梗风毛菊,parent taxon,风毛菊属
显稃早熟禾,parent taxon,早熟禾属
显脉百里香,parent taxon,百里香属
显耳玉山竹,parent taxon,玉山竹属
纤枝野丁香,parent taxon,野丁香属
纤枝兔儿风,parent taxon,兔儿风属
纤枝冬青,instance of,冬青
纤枝蒲桃,parent taxon,蒲桃属
鲜黄小檗,parent taxon,小檗属
纤枝金丝桃,parent taxon,金丝桃属
纤枝艾纳香,parent taxon,艾纳香属
纤叶钗子股,parent taxon,钗子股属
纤细羽衣草,parent taxon,羽衣草属
纤细雀梅藤,parent taxon,雀梅藤属
纤细龙脑香,parent taxon,龙脑香属
纤细马先蒿,parent taxon,马先蒿属
纤细龙胆,parent taxon,龙胆属
纤细轮环藤,parent taxon,轮环藤属
纤细冷水花,parent taxon,冷水花属
纤细飘拂草,parent taxon,飘拂草属
纤细假糙苏,parent taxon,假糙苏属
纤细黄堇,parent taxon,紫堇属
纤细苞茅,parent taxon,苞茅属
纤弱早熟禾,parent taxon,早熟禾属
纤维鳞毛蕨,parent taxon,鳞毛蕨属
纤弱黄芩,parent taxon,黄芩属
纤弱蛇根草,parent taxon,蛇根草属
纤花千里光,parent taxon,千里光属
纤茎阔蕊兰,parent taxon,阔蕊兰属
