HudongItem,relation,NewNode
雪柳,instance of,生物分类单元
雪灵芝,subject has role,基名
雪里见,taxon rank,种
雪柳,taxon rank,种
雪花属,instance of,生物分类单元
雪花香茶菜,instance of,生物分类单元
雪花属,taxon rank,属
雪柳属,instance of,生物分类单元
雪莲,instance of,生物分类单元
雪花香茶菜,taxon rank,种
雪地早熟禾,instance of,生物分类单元
雪花属,parent taxon,Argostemmateae
雪柳属,taxon rank,属
雪莲,taxon rank,种
雪地早熟禾,taxon rank,种
雪柳属,parent taxon,木樨科
雪柳属,topic's main category,Category:Fontanesia
旋蒴苣苔,instance of,生物分类单元
旋蒴苣苔,taxon rank,种
旋喙马先蒿,instance of,生物分类单元
穴果木,instance of,生物分类单元
旋麟莎草,instance of,生物分类单元
旋蒴苣苔属,instance of,生物分类单元
穴果木属,instance of,生物分类单元
旋喙马先蒿,taxon rank,种
穴果木,taxon rank,种
旋麟莎草,taxon rank,种
旋蒴苣苔属,taxon rank,属
穴果木属,taxon rank,属
旋叶香青,instance of,生物分类单元
旋花茄,instance of,生物分类单元
旋花科,instance of,生物分类单元
旋花豆属,instance of,生物分类单元
穴果木属,parent taxon,Morindeae
旋叶香青,taxon rank,种
旋花茄,taxon rank,种
旋花科,taxon rank,科
旋花羊角拗,instance of,生物分类单元
旋花豆属,taxon rank,属
旋麟莎草,basionym,Scirpus michelianus
旋蒴苣苔属,has fruit type,蒴果
穴果木属,topic's main category,Category:穴果木属
旋花,instance of,生物分类单元
旋果蚊子草,instance of,生物分类单元
旋覆花属,instance of,生物分类单元
旋覆花,instance of,生物分类单元
旋苞隐棒花,instance of,生物分类单元
旋花茄,parent taxon,茄属
旋花科,parent taxon,Tubiflorae
旋花羊角拗,taxon rank,种
旋花豆属,parent taxon,Erythrininae
旋麟莎草,has fruit type,nucule
旋蒴苣苔属,topic's main category,Category:旋蒴苣苔属
旋果蚊子草,taxon rank,种
旋覆花属,taxon rank,属
旋覆花,taxon rank,种
旋苞隐棒花,taxon rank,种
旋叶香青,basionym,Antennaria contorta
旋花豆属,parent taxon,Papilionoideae
旋麟莎草,IUCN conservation status,无危物种
旋覆花属,parent taxon,Inuleae
旋麟莎草,topic's main category,Category:Cyperus michelianus
旋果蚊子草,basionym,Spiraea ulmaria
旋覆花属,topic's main category,Category:Inula
旋苞隐棒花,IUCN conservation status,无危物种
旋果蚊子草,has fruit type,蓇葖果
旋果蚊子草,IUCN conservation status,无危物种
旋果蚊子草,topic's main category,Category:Filipendula ulmaria
旋果蚊子草,described by source,俄语百科全书
叙永小檗,instance of,生物分类单元
叙永小檗,taxon rank,种
絮菊,instance of,生物分类单元
须药藤,instance of,生物分类单元
须叶藤,instance of,生物分类单元
序托冷水花,instance of,生物分类单元
徐长卿,instance of,维基媒体消歧义页
须叶藤科,instance of,单型
叙永梅花草,instance of,生物分类单元
须药藤属,instance of,生物分类单元
絮菊,taxon rank,种
须药藤,taxon rank,种
须叶藤,instance of,攀缘植物
序托冷水花,taxon rank,种
叙永梅花草,taxon rank,种
须药藤属,instance of,单型
须蕊铁线莲,instance of,生物分类单元
须弥紫菀,instance of,生物分类单元
须弥香青,instance of,生物分类单元
须弥千里光,instance of,生物分类单元
须弥茜树,instance of,生物分类单元
须弥孩儿参,instance of,生物分类单元
须弥葛,instance of,生物分类单元
须叶藤,taxon rank,种
须药藤属,taxon rank,属
须蕊铁线莲,taxon rank,种
须弥紫菀,taxon rank,种
须弥香青,taxon rank,种
须弥千里光,taxon rank,种
须弥茜树,taxon rank,种
须弥孩儿参,taxon rank,种
须弥巴戟,instance of,生物分类单元
须弥葛,taxon rank,种
絮菊,has fruit type,胞果
须叶藤,parent taxon,Flagellaria
须药藤属,parent taxon,夹竹桃科
须毛马先蒿,instance of,生物分类单元
须芒草属,instance of,生物分类单元
须芒草,instance of,生物分类单元
须花无心菜,instance of,生物分类单元
须花藤属,instance of,生物分类单元
须唇羊耳蒜,instance of,生物分类单元
须弥紫菀,parent taxon,紫菀属
须弥茜树,parent taxon,Himalrandia
须弥巴戟,taxon rank,种
絮菊,topic's main category,Category:Filago arvensis
须毛马先蒿,taxon rank,种
须芒草属,taxon rank,属
须芒草,taxon rank,种
须花无心菜,taxon rank,种
须花藤属,taxon rank,属
须唇羊耳蒜,taxon rank,种
须弥茜树,basionym,Randia lichiangensis
须弥巴戟,parent taxon,羊角藤属
须弥葛,subject has role,基名
絮菊,Status in the Red List of Threatened Species in the Czech Republic,near threatened
须芒草属,parent taxon,和黍亚科
须花藤属,parent taxon,Secamonoideae
须唇羊耳蒜,parent taxon,羊耳蒜属
须芒草属,has fruit type,颖果
须花无心菜,subject has role,基名
须花藤属,topic's main category,Category:Genianthus
须芒草属,topic's main category,Category:须芒草属
须芒草属,described by source,俄语百科全书
锈毛石斑木,instance of,生物分类单元
锈毛石斑木,taxon rank,变种
锈毛石斑木,parent taxon,Rhaphiolepis ferruginea
锈毛忍冬,instance of,生物分类单元
锈毛山小橘,instance of,生物分类单元
锈毛木莲,instance of,生物分类单元
锈毛忍冬,taxon rank,种
锈毛山小橘,taxon rank,种
锈毛木莲,taxon rank,种
锈毛莓,instance of,生物分类单元
锈毛络石,instance of,生物分类单元
锈毛两型豆,instance of,生物分类单元
锈毛山小橘,parent taxon,山小桔属
锈毛莓,taxon rank,种
锈毛络石,taxon rank,种
锈毛两型豆,taxon rank,种
锈毛山小橘,basionym,Clausena esquirolii
锈毛木莲,subject has role,基名
锈毛金腰,instance of,生物分类单元
锈毛鲫鱼藤,instance of,生物分类单元
锈毛黄猄草,instance of,生物分类单元
锈毛棋子豆,instance of,生物分类单元
锈毛树萝卜,instance of,生物分类单元
锈毛金腰,taxon rank,种
锈毛鲫鱼藤,taxon rank,种
锈毛黄猄草,taxon rank,种
锈毛棋子豆,taxon rank,种
锈毛树萝卜,taxon rank,种
锈毛络石,basionym,Melodinus dunnii
锈毛金腰,parent taxon,猫眼草属
锈毛黄猄草,parent taxon,梭果爵床属
锈毛棋子豆,parent taxon,Cylindrokelupha
锈毛树萝卜,parent taxon,五翅莓属
锈毛黄猄草,basionym,Strobilanthes fulvihispida
锈脉蚊子草,instance of,生物分类单元
锈脉蚊子草,taxon rank,种
锈毛闭花木,instance of,生物分类单元
锈鳞飘拂草,instance of,生物分类单元
锈茎楼梯草,instance of,生物分类单元
锈毛短筒苣苔,instance of,生物分类单元
锈脉蚊子草,basionym,Spiraea vestita
锈毛闭花木,taxon rank,种
锈茎楼梯草,taxon rank,种
锈毛短筒苣苔,taxon rank,种
锈荚藤,instance of,生物分类单元
锈红杜鹃,instance of,生物分类单元
锈果薹草,instance of,生物分类单元
锈毛梣,instance of,生物分类单元
锈点薹草,instance of,生物分类单元
锈毛短筒苣苔,parent taxon,短筒苣苔属
锈荚藤,taxon rank,种
锈红杜鹃,taxon rank,种
锈毛梣,taxon rank,种
锈点薹草,taxon rank,种
锈茎螺序草,instance of,生物分类单元
锈背野靛棵,instance of,生物分类单元
锈背耳叶马蓝,instance of,生物分类单元
锈苞蒿,instance of,生物分类单元
绣线梅属,instance of,生物分类单元
绣线梅,instance of,生物分类单元
锈红杜鹃,parent taxon,杜鹃花属
锈毛梣,parent taxon,梣树
锈茎螺序草,taxon rank,种
锈背野靛棵,taxon rank,种
锈背耳叶马蓝,taxon rank,种
锈苞蒿,taxon rank,种
绣线梅属,taxon rank,属
绣线梅,taxon rank,种
锈荚藤,subject has role,基名
锈毛梣,IUCN conservation status,无危物种
锈背耳叶马蓝,parent taxon,耳叶爵床属
绣线梅属,parent taxon,绣线菊亚科
绣线梅属,topic's main category,Category:Neillia
秀柱花,instance of,生物分类单元
秀柱花,taxon rank,种
秀柱花属,instance of,生物分类单元
秀英卫矛,instance of,生物分类单元
绣球防风属,instance of,生物分类单元
秀英冬青,instance of,生物分类单元
秀柱花属,taxon rank,属
绣球防风属,taxon rank,属
秀英冬青,taxon rank,种
绣球防风,instance of,生物分类单元
秀丽锥,instance of,生物分类单元
秀丽珍珠花,instance of,生物分类单元
秀丽野海棠,instance of,生物分类单元
秀柱花属,parent taxon,金缕梅科
绣球防风属,parent taxon,Lamioideae
绣球防风,taxon rank,种
秀丽锥,taxon rank,种
秀丽珍珠花,taxon rank,种
秀丽野海棠,taxon rank,种
秀雅杜鹃,instance of,生物分类单元
秀柱花属,topic's main category,Category:秀柱花属
绣球防风属,topic's main category,Category:绣球防风属
秀丽缬草,instance of,生物分类单元
秀丽兔儿风,instance of,生物分类单元
秀丽四照花,instance of,生物分类单元
秀丽水柏枝,instance of,生物分类单元
秀丽锥,parent taxon,锥栗属
秀丽珍珠花,parent taxon,南烛属
秀雅杜鹃,taxon rank,种
秀丽缬草,taxon rank,种
秀丽兔儿风,taxon rank,种
秀丽四照花,taxon rank,种
秀丽鼠刺,instance of,生物分类单元
秀丽水柏枝,taxon rank,种
秀丽珍珠花,basionym,Pieris compta
秀雅杜鹃,parent taxon,杜鹃花属
秀雅杜鹃,topic's main category,Category:Rhododendron concinnum
秀丽兜兰,instance of,生物分类单元
秀丽兜兰,taxon rank,种
秀丽兜兰,parent taxon,兜兰属
修株肿足蕨,instance of,生物分类单元
秀丽斑叶兰,instance of,生物分类单元
秀丽兜兰,basionym,Cypripedium venustum
修株肿足蕨,taxon rank,种
秀丽斑叶兰,taxon rank,种
秀丽兜兰,IUCN conservation status,濒危物种
秀瓣杜英,instance of,生物分类单元
秀苞败酱,instance of,生物分类单元
修枝荚蒾,instance of,生物分类单元
修蕨,instance of,生物分类单元
修花马先蒿,instance of,生物分类单元
修株肿足蕨,parent taxon,Hypodematium
秀瓣杜英,taxon rank,种
秀苞败酱,taxon rank,种
修枝荚蒾,taxon rank,种
修蕨,taxon rank,种
修花马先蒿,taxon rank,种
羞怯杜鹃,instance of,生物分类单元
休氏马先蒿,instance of,生物分类单元
熊掌,country of origin,中华人民共和国
熊耳草,instance of,生物分类单元
熊胆草,instance of,生物分类单元
秀丽楤木,instance of,生物分类单元
莕菜属,instance of,生物分类单元
修蕨,parent taxon,Selliguea
羞怯杜鹃,taxon rank,种
休氏马先蒿,taxon rank,种
熊耳草,taxon rank,种
熊胆草,taxon rank,种
秀丽楤木,taxon rank,种
杏籽栝楼,instance of,生物分类单元
莕菜属,taxon rank,属
修蕨,taxon synonym,Polypodium feei
羞怯杜鹃,parent taxon,杜鹃花属
熊耳草,parent taxon,藿香蓟属
熊胆草,parent taxon,假蓬属
杏籽栝楼,taxon rank,种
莕菜属,parent taxon,睡菜科
熊耳草,has fruit type,胞果
熊胆草,subject has role,基名
莕菜属,topic's main category,Category:莕菜属
熊耳草,topic's main category,Category:Ageratum houstonianum
莕菜属,described by source,俄语百科全书
猩红杜鹃,instance of,生物分类单元
猩红杜鹃,taxon rank,种
猩红杜鹃,parent taxon,杜鹃花属
星叶丝瓣芹,instance of,生物分类单元
星状龙胆,instance of,生物分类单元
星叶草属,instance of,生物分类单元
星叶丝瓣芹,taxon rank,种
星状龙胆,taxon rank,种
星叶草属,taxon rank,科
星序楼梯草,instance of,生物分类单元
星星草,instance of,生物分类单元
星粟草,instance of,生物分类单元
邢氏贯众,instance of,生物分类单元
星叶草属,parent taxon,Circaeasterales
星序楼梯草,taxon rank,种
星星草,taxon rank,种
星粟草,taxon rank,种
邢氏贯众,taxon rank,种
星叶草属,parent taxon,毛茛目
星舌紫菀,instance of,生物分类单元
星毛紫金牛,instance of,生物分类单元
星毛紫柄蕨,instance of,生物分类单元
星毛羊奶子,instance of,生物分类单元
星星草,parent taxon,硷茅属
星粟草,parent taxon,Glinus
邢氏贯众,parent taxon,Cyrtomium
星叶草属,taxon synonym,独叶草科
星舌紫菀,taxon rank,种
星毛紫金牛,taxon rank,种
星毛紫柄蕨,taxon rank,种
星毛羊奶子,taxon rank,种
星叶草属,taxonomic type,Circaeaster
星毛鸭脚木,instance of,生物分类单元
星毛委陵菜,instance of,生物分类单元
星毛糖芥,instance of,生物分类单元
星毛唐松草,instance of,生物分类单元
星舌紫菀,parent taxon,紫菀属
星毛紫柄蕨,parent taxon,Pseudophegopteris
星叶草属,topic's main category,Category:星叶草科
星毛鸭脚木,taxon rank,种
星毛委陵菜,taxon rank,种
星毛糖芥,taxon rank,种
星毛唐松草,taxon rank,种
星毛紫金牛,taxon synonym,Ardisia stellata
星毛柯,instance of,生物分类单元
星毛蕨,instance of,生物分类单元
星毛金锦香,instance of,生物分类单元
星毛冠盖藤,instance of,生物分类单元
星毛柯,taxon rank,种
星毛蕨,taxon rank,种
星毛金锦香,taxon rank,种
星毛冠盖藤,taxon rank,种
星毛糖芥,topic's main category,Category:Erysimum odoratum
星毛柯,parent taxon,石栎属
星毛蕨,parent taxon,Ampelopteris
星毛糖芥,Status in the Red List of Threatened Species in the Czech Republic,near threatened
星毛冠盖藤,subject has role,基名
星花灯心草,instance of,生物分类单元
星花灯心草,taxon rank,种
星花草属,instance of,生物分类单元
星花草属,taxon rank,属
星花碱蓬,instance of,生物分类单元
星果草,instance of,生物分类单元
星花草,instance of,生物分类单元
星花粉条儿菜,instance of,生物分类单元
星花碱蓬,taxon rank,种
星果草,taxon rank,种
星花草,taxon rank,种
星萼龙胆,instance of,生物分类单元
星萼金丝桃,instance of,生物分类单元
星花蒜,instance of,生物分类单元
星花粉条儿菜,taxon rank,种
星花碱蓬,parent taxon,Suaeda sect. Brezia
星刺卫矛,instance of,生物分类单元
星刺锥,instance of,生物分类单元
星萼龙胆,taxon rank,种
星萼金丝桃,taxon rank,种
星花蒜,taxon rank,种
星果草,basionym,Isopyrum peltatum
星刺卫矛,taxon rank,种
星刺锥,taxon rank,种
兴义香草,instance of,生物分类单元
兴义秋海棠,instance of,生物分类单元
星花蒜,parent taxon,葱属
兴文溪边蕨,instance of,生物分类单元
星果佛甲草,instance of,生物分类单元
兴山榆,instance of,生物分类单元
星萼獐牙菜,instance of,生物分类单元
星刺锥,parent taxon,锥栗属
兴义香草,taxon rank,种
兴义秋海棠,taxon rank,种
星花蒜,has fruit type,蒴果
兴文溪边蕨,taxon rank,种
星果佛甲草,taxon rank,种
兴山榆,taxon rank,种
兴山五味子,instance of,生物分类单元
星萼獐牙菜,taxon rank,种
兴山小檗,instance of,生物分类单元
兴文小檗,instance of,生物分类单元
兴文溪边蕨,parent taxon,Stegnogramma
星果佛甲草,parent taxon,景天属
兴山榆,parent taxon,榆属
兴山五味子,taxon rank,种
兴山小檗,taxon rank,种
兴文小檗,taxon rank,种
兴安悬钩子,instance of,生物分类单元
兴安悬钩子,taxon rank,种
兴安野青茅,instance of,生物分类单元
兴安薹草,instance of,生物分类单元
兴安杨,instance of,生物分类单元
兴安悬钩子,this taxon is source of,cloudberry
兴安野青茅,taxon rank,种
兴安薹草,taxon rank,种
兴安杨,taxon rank,种
兴安悬钩子,IUCN conservation status,无危物种
兴安益母草,instance of,生物分类单元
兴安乳菀,instance of,生物分类单元
兴安鹿药,instance of,生物分类单元
兴安悬钩子,topic's main category,Category:Rubus chamaemorus
兴安益母草,taxon rank,种
兴安梅花草,instance of,生物分类单元
兴安乳菀,taxon rank,种
兴安鹿药,taxon rank,种
兴安柳,instance of,生物分类单元
兴安藜芦,instance of,生物分类单元
兴安老鹳草,instance of,生物分类单元
兴安蛇床,instance of,生物分类单元
兴安景天,instance of,生物分类单元
兴安梅花草,taxon rank,种
兴安乳菀,parent taxon,紫菀属
兴安鹿药,parent taxon,Smilacina
兴安柳,taxon rank,种
兴安藜芦,taxon rank,种
兴安老鹳草,taxon rank,种
兴安蛇床,taxon rank,种
兴安景天,taxon rank,种
兴安天门冬,instance of,生物分类单元
兴安堇菜,instance of,生物分类单元
兴安鹿药,subject has role,基名
兴安柳,parent taxon,柳树
兴安老鹳草,parent taxon,老颧草属
兴安景天,parent taxon,景天属
兴安天门冬,taxon rank,种
兴安堇菜,taxon rank,种
兴安藜芦,basionym,Veratrum album var. dahuricum
兴安景天,subject has role,基名
兴安天门冬,IUCN conservation status,数据缺乏
信宜秋海棠,instance of,生物分类单元
信宜秋海棠,taxon rank,种
信宜槭,instance of,生物分类单元
信宜苹婆,instance of,生物分类单元
信宜石竹,instance of,生物分类单元
信宜铁角蕨,instance of,生物分类单元
信宜槭,taxon rank,种
信宜苹婆,taxon rank,种
信宜石竹,taxon rank,种
兴安白头翁,instance of,生物分类单元
信宜铁角蕨,taxon rank,种
信宜木荷,instance of,生物分类单元
信宜毛柃,instance of,生物分类单元
新紫柳,instance of,生物分类单元
信宜槭,parent taxon,枫属
信宜苹婆,parent taxon,苹婆属
兴安白头翁,taxon rank,种
信宜铁角蕨,parent taxon,山苏
信宜木荷,taxon rank,种
信宜毛柃,taxon rank,种
新竹铁角蕨,instance of,生物分类单元
新紫柳,taxon rank,种
馨香玉兰,instance of,生物分类单元
信宜木荷,parent taxon,柯树属
信宜毛柃,parent taxon,柃属
新竹铁角蕨,taxon rank,种
新紫柳,parent taxon,柳树
兴安白头翁,basionym,Anemone dahurica
馨香玉兰,taxon rank,种
新竹铁角蕨,parent taxon,山苏
馨香玉兰,parent taxon,木兰属
馨香玉兰,IUCN conservation status,濒危物种
新塔花,instance of,生物分类单元
新平复叶耳蕨,instance of,生物分类单元
新平复叶耳蕨,taxon rank,种
新平复叶耳蕨,parent taxon,Arachniodes
新宁新木姜子,instance of,生物分类单元
新塔花属,instance of,生物分类单元
新平鳞盖蕨,instance of,生物分类单元
新宁新木姜子,taxon rank,种
新塔花属,taxon rank,属
新平鳞盖蕨,taxon rank,种
新塔花属,parent taxon,Mentheae
新平鳞盖蕨,parent taxon,Microlepia
新塔花属,taxonomic type,Ziziphora capitata
新塔花属,topic's main category,Category:新塔花属
新疆远志,instance of,生物分类单元
新疆远志,taxon rank,种
新疆早熟禾,instance of,生物分类单元
新疆郁金香,instance of,生物分类单元
新疆云杉,instance of,生物分类单元
新疆玄参,instance of,生物分类单元
新疆早熟禾,taxon rank,种
新疆郁金香,taxon rank,种
新疆云杉,taxon rank,种
新疆野苹果,instance of,生物分类单元
新疆野决明,instance of,生物分类单元
新疆玄参,taxon rank,种
新疆缬草,instance of,生物分类单元
新疆细叶芹,instance of,生物分类单元
新疆乌头,instance of,生物分类单元
新疆野苹果,taxon rank,种
新疆野决明,taxon rank,种
新疆缬草,taxon rank,种
新疆细叶芹,taxon rank,种
新疆菥蓂,instance of,生物分类单元
新疆蝟菊,instance of,生物分类单元
新疆五针松,instance of,生物分类单元
新疆云杉,IUCN conservation status,无危物种
新疆菥蓂,taxon rank,种
新疆蝟菊,taxon rank,种
新疆五针松,taxon rank,种
新疆云杉,topic's main category,Category:Picea obovata
新疆野苹果,basionym,Pyrus sieversii
新疆菥蓂,parent taxon,遏蓝菜属
新疆蝟菊,parent taxon,鳍蓟属
新疆五针松,parent taxon,松属
新疆野苹果,IUCN conservation status,易危物种
新疆菥蓂,subject has role,基名
新疆五针松,IUCN conservation status,无危物种
新疆野苹果,topic's main category,Category:Malus sieversii
新疆五针松,topic's main category,Category:Pinus sibirica
新疆沙参,instance of,生物分类单元
新疆沙参,taxon rank,种
新疆鼠李,instance of,生物分类单元
新疆三肋果,instance of,生物分类单元
新疆乳菀,instance of,生物分类单元
新疆绒果芹,instance of,生物分类单元
新疆山黧豆,instance of,生物分类单元
新疆沙参,basionym,Campanula lilifolia
新疆鼠李,taxon rank,种
新疆三肋果,taxon rank,种
新疆乳菀,taxon rank,种
新疆绒果芹,taxon rank,种
新疆山黧豆,taxon rank,种
新疆沙参,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
新疆千里光,instance of,生物分类单元
新疆匹菊,instance of,生物分类单元
新疆女蒿,instance of,生物分类单元
新疆南芥,instance of,生物分类单元
新疆米努草,instance of,生物分类单元
新疆梅花草,instance of,生物分类单元
新疆乳菀,parent taxon,紫菀属
新疆山黧豆,parent taxon,香豌豆属
新疆千里光,taxon rank,种
新疆匹菊,taxon rank,种
新疆女蒿,taxon rank,种
新疆南芥,taxon rank,种
新疆米努草,taxon rank,种
新疆梅花草,taxon rank,种
新疆毛连菜,instance of,生物分类单元
新疆三肋果,basionym,Matricaria inodora
新疆绒果芹,basionym,Pituranthos pelliotii
新疆米努草,parent taxon,高山漆姑草属
新疆毛连菜,taxon rank,种
新疆千里光,has fruit type,胞果
新疆女蒿,basionym,Tanacetum herderi
新疆千里光,topic's main category,Category:Jacobaea vulgaris
新疆梨,instance of,生物分类单元
新疆梨,taxon rank,种
新疆梨,parent taxon,梨
新疆藜属,instance of,生物分类单元
新疆韭,instance of,生物分类单元
新疆藜属,taxon rank,属
新疆韭,taxon rank,种
新疆藜,instance of,生物分类单元
新疆丽豆,instance of,生物分类单元
新疆藜属,parent taxon,Salsoleae
新疆韭,parent taxon,葱属
新疆藜,taxon rank,种
新疆丽豆,taxon rank,种
新疆蓼,instance of,生物分类单元
新疆蓟,instance of,生物分类单元
新疆柳叶菜,instance of,生物分类单元
新疆锦鸡儿,instance of,生物分类单元
新疆假龙胆,instance of,生物分类单元
新疆棘豆,instance of,生物分类单元
新疆藜属,taxonomic type,Halothamnus bottae
新疆韭,has fruit type,蒴果
新疆藜,parent taxon,Halothamnus sect. Halothamnus
新疆蓼,taxon rank,种
新疆蓟,taxon rank,种
新疆拉拉藤,instance of,生物分类单元
新疆绢蒿,instance of,生物分类单元
新疆柳叶菜,taxon rank,种
新疆锦鸡儿,taxon rank,种
新疆假龙胆,taxon rank,种
新疆棘豆,taxon rank,种
新疆藜属,topic's main category,Category:新疆藜属
新疆藜,taxon synonym,Halothamnus heptapotamicus
新疆丽豆,IUCN conservation status,数据缺乏
新疆火烧兰,instance of,生物分类单元
新疆黄精,instance of,生物分类单元
新疆黄堇,instance of,生物分类单元
新疆花葵,instance of,生物分类单元
新疆鹤虱,instance of,生物分类单元
新疆旱禾,instance of,生物分类单元
新疆蓟,parent taxon,蓟属
新疆拉拉藤,taxon rank,种
新疆绢蒿,taxon rank,种
新疆藜,taxon synonym,Salsola glauca
新疆火烧兰,taxon rank,种
新疆黄精,taxon rank,种
新疆黄堇,taxon rank,种
新疆花葵,taxon rank,种
新疆鹤虱,taxon rank,种
新疆旱禾,taxon rank,属
新疆海罂粟,instance of,生物分类单元
新疆枸杞,instance of,生物分类单元
新疆绢蒿,parent taxon,Seriphidium
新疆柳叶菜,topic's main category,Category:Epilobium anagallidifolium
新疆假龙胆,basionym,Gentiana turkestanorum
新疆藜,taxon synonym,Aellenia glauca
新疆风毛菊,instance of,生物分类单元
新疆风铃草,instance of,生物分类单元
新疆方枝柏,instance of,生物分类单元
新疆顶冰花,instance of,生物分类单元
新疆大蒜芥,instance of,生物分类单元
新疆党参,instance of,生物分类单元
新疆海罂粟,taxon rank,种
新疆枸杞,taxon rank,种
新疆绢蒿,basionym,Artemisia kaschgarica
新疆藜,basionym,Salsola glauca
新疆风毛菊,taxon rank,种
新疆风铃草,taxon rank,种
新疆方枝柏,taxon rank,种
新疆顶冰花,taxon rank,种
新疆大蒜芥,taxon rank,种
新疆党参,taxon rank,种
新疆火烧兰,basionym,Serapias helleborine var. palustris
新疆黄精,basionym,Convallaria rosea
新疆旱禾,topic's main category,Category:Eremopoa
新疆风铃草,parent taxon,风铃草属
