iplantitem1,relation,iplantitem2
梅,功用,7. 梅（诗经）春梅（江苏南通），干枝梅（北京），酸梅，乌...
野杏,功用,杏的常见栽培供观赏的树种，主要有以下类型：1．垂枝杏 f. p...
辣根,功用,根有辛辣味，作调味品或食用；药用内服作兴奋剂，外用引赤；...
银蒿,功用,含挥发油，作香料用；也含牲畜食用的粗蛋白、纤维素，牧区作...
野艾蒿,功用,入药，作“艾”（家艾）的代用品，有散寒、祛湿、温经、止血...
大花蒿,功用,含挥发油与生物碱，主要成分为内脂类物质。另含牲畜食用的粗...
圆头蒿,功用,本种主根粗大，木质，深长，侧根多而长，主、侧根能延伸于沙...
波罗蜜,功用,本种果形大，味甜，芳香；核果可煮食，富含淀粉；木材黄，可...
面包树,功用,木材质轻软而粗，可作建筑用材…，果实为热带主要食品之一。
披针叶桂木,功用,果成熟可食。
桂木,功用,成熟聚合果可食。木材坚硬，纹理细微，可供建筑用材或家具等...
胭脂,功用,木材坚硬，为良好硬木；果实味甜可食。
石刁柏,功用,嫩苗可供蔬食。
海芋,功用,根茎富含淀粉，可作工业上代用品，但不能食用。
海南藤春,功用,木材坚硬而韧，结构密致均匀，适于建筑、车船等用材。果实成...
石密,功用,果实成熟时黄色可食。木材坚硬，结构致密均匀，略有韧性，适...
节鞭山姜,功用,根茎可作香料；果可食并作药用。（见《印度支那植物志》）
香姜,功用,植株具“芫荽”样香味，民间常栽培作调味香料，并用于驱风行...
滑叶山姜,功用,果实用于开胃、行气。民间有少量栽培，取根茎作调味香料。
莲子草属,功用,有些种为中草药; 嫩叶食用或作饲料；有些种叶片具各种颜色，...
莲子草,功用,全植物入药，有散瘀消毒、清火退热功效，治牙痛、痢疾，疗肠...
苋属,功用,作蔬菜食用，药用或栽培供观赏。
繁穗苋,功用,茎叶可作蔬菜；栽培供观赏；种子为粮食作物，食用或酿酒。
刺苋,功用,嫩茎叶作野菜食用；全草供药用，有清热解毒、散血消肿的功效...
苋,功用,茎叶作为蔬菜食用；叶杂有各种颜色者供观赏；根、果实及全草...
皱果苋,功用,嫩茎叶可作野菜食用，也可作饲料；全草入药，有清热解毒、利...
唐棣属,功用,多数观赏树木，具有美丽的花序和密集的果实。果肉多浆可食，...
草果,功用,草果精油主含1、8-桉树脑-(18-Cineole) 33.94％、反-2-十-…
芸苔属,功用,本属植物为重要蔬菜，少数种类的种子可榨油；为蜜源植物；某...
芸苔,功用,7. 芸苔（唐本草） 油菜（通称）
紫菜苔,功用,菜苔作蔬菜食用。
青菜,功用,10. 青菜（通称）小白菜（通称），油菜（东北），小油菜（经...
油白菜,功用,种子榨油供食用。
苦芥,功用,作蔬菜食用。
芥菜,功用,13. 芥菜（通称） 芥（名医别录）
油芥菜,功用,种子可榨油，供食用；磨粉可作调味品，又可入药。
大头菜,功用,块根酱渍供食用；又可作饲料。
雪里蕻,功用,盐腌作蔬菜食用。
多裂叶芥,功用,作蔬菜炒食，稍具辛辣味。
榨菜,功用,盐腌加工制造后供食用。
芥菜疙瘩,功用,块根盐腌或酱渍供食用；和萝卜同切成细丝作辣菜食用。
菜苔,功用,作蔬菜食用。
白菜,功用,为东北及华北冬、春季主要蔬菜。生食、炒食、盐醃、酱渍均可...
矮合欢,功用,本种生长迅速，能耐砂质土及干燥气侯，开花如绒簇，十分可爱...
深绿短肠蕨,功用,拳卷的嫩叶可作野菜食用，云南西部及西北部山民偶在农村集市...
葱属,功用,本属的不少种类可以食用，有的种类已作为蔬菜长期广泛栽培，...
阿尔泰葱,功用,鳞茎和叶可食用。
火葱,功用,作调料蔬菜食用。
洋葱,功用,鳞茎供食用。
红葱,功用,鳞茎和叶供食用。
葱,功用,作蔬菜食用，鳞茎和种子亦入药。
玉簪叶韭,功用,幼叶可食用。
薤白,功用,鳞茎作药用，也可作蔬菜食用，在少数地区已有栽培。
卵叶韭,功用,嫩叶可食用。
天蒜,功用,鳞茎可食用。
韭葱,功用,鳞茎作蔬菜食用。
野韭,功用,叶可食用。
茖葱,功用,嫩叶可供食用。
刀豆,功用,嫩荚和种子供食用，但须先用盐水煮熟，然后换清水煮，方可食...
蕉芋,功用,块茎可煮食或提取淀粉，适于老弱和小儿食用或制粉条、酿酒以...
美人蕉科,功用,本科中的蕉芋为我国南方常见栽培植物之一，块茎可煮食或提取...
猪肚木,功用,本种木材适作雕刻；成熟果实可食；根可作利尿药用。
荠,功用,全草入药，有利尿、止血、清热、明目、消积功效；茎叶作蔬菜...
碎米荠属,功用,本属中有些种类可供药用，有些有观赏价值，有些作野菜食用，...
碎米荠,功用,26. 碎米荠（野菜谱）
湿生碎米荠,功用,全草供食用或作饲料。
白花碎米荠,功用,全草晒干，民间用以代茶叶；根状茎可治气管炎；全草及根状茎...
水田碎米荠,功用,幼嫩的茎叶可供食用；也可入药，有清热去湿之效。
大叶碎米荠,功用,5. 大叶碎米荠（东北植物检索表）
多叶碎米荠,功用,全草药用，利小便、止痛及治败血病；嫩苗可食用，亦为良好的...
草甸碎米荠,功用,全草供观赏，嫩叶可食用。
紫花碎米荠,功用,全草食用；亦供药用，清热利湿，并可治黄水疮；花治筋骨疼痛...
华中碎米荠,功用,幼嫩茎叶可供食用；全草民间用作妇女补虚药，并可治红、白带...
桦木科,功用,本科的许多树种为北温带森林的重要组成树种，并为造林树种。...
秋枫,功用,散孔材，导管管孔较大，直径115-250微米，管孔每平方毫米平...
重阳木,功用,散孔材，导管管孔较小，直径50-53微米，管孔每1平方毫米64-1...
苎麻,功用,苎麻的茎皮纤维细长，强韧，洁白，有光泽，拉力强，耐水湿，...
贴毛苎麻,功用,苎麻的茎皮纤维细长，强韧，洁白，有光泽，拉力强，耐水湿，...
青叶苎麻,功用,苎麻的茎皮纤维细长，强韧，洁白，有光泽，拉力强，耐水湿，...
悬铃叶苎麻,功用,茎皮纤维坚韧，光泽如丝，弹力和拉力都很强，可纺纱织布，也...
黄细心,功用,根烤熟可食，有甜味，甚滋补；叶有利尿、催吐、祛痰之效，可...
木棉,功用,花可供蔬食，入药清热除湿，能治菌痢、肠炎、胃痛；根皮祛风...
糖棕,功用,糖棕有很高的经济价值。在主产国如印度、缅甸、斯里兰卡、马...
山茄子,功用,幼嫩时茎叶可作蔬菜。
润肺草,功用,块根可食用，有作润肺药。
莼菜,功用,本种富胶质，嫩茎叶作蔬菜食用。
大叶子,功用,根状茎含鞣质和淀粉，可提制栲胶和酿酒。5-6月采嫩芽及叶柄...
燕麦属,功用,本属多数种类为很有营养价值的粮食和饲料；谷粒可制面粉及作...
海榄雌,功用,果实浸泡去涩后可炒食，也可作饲料，又可治痢疾。
鱼肚腩竹,功用,本种为广州近郊栽培的夏季笋用竹之一，因其笋肉肥厚而味甘美...
木[竹/亶]竹,功用,此竹高大，壁厚达16-20毫米，可劈篾多层，用以编制农具及海...
苞藜,功用,种子含丰富淀粉。
落葵,功用,叶含有多种维生素和钙、铁，栽培作蔬菜，也可观赏。全草供药...
冷箭竹,功用,竿可用于覆盖茅屋，或作毛笔杆及算盘的桥杆。在四川本种是大...
峨热竹,功用,笋味淡，可供食用；竿扎结制刷把或扫帚。本种亦是牛、羊放牧...
洋紫荆,功用,6.洋紫荆（广州）羊蹄甲、红紫荆、红花紫荆、弯叶树
菵草属,功用,本属植物为优良饲料，质量较高；谷粒可食，滋养健胃。也是水...
节瓜,功用,果实夏季作蔬菜食用。
可食小檗,功用,据记录，本种果可食，酿酒。
秦岭米面蓊,功用,果实富含淀粉，可供酿酒或食用，也可榨油；嫩叶可作蔬菜。
米面蓊,功用,果实含淀粉，可盐渍供食用；鲜叶有毒，外用治皮肤搔痒；树皮...
密蒙花,功用,全株供药用，尤以密生的花序和色泽灰黄、有短绒毛及质地柔软...
橄榄科,功用,本科植物的主要有用产物是树脂，其中著名的如乳香，系阿拉伯...
牛油果,功用,种仁富含脂肪、为重要食用油及重要的工矿用油，又可制人造黄...
仙人掌科,功用,本科植物外形奇特，可供观赏，在热带地区常植作围篱；木麒麟...
红厚壳,功用,种子含油量20-30%，种仁含油量为50-60%，油可供工业用，加工...
山茶属,功用,本属植物具有很高的利用价值，茶叶是广泛嗜好的饮料，是国际...
金钱豹,功用,果实味甜，可食。根入药，有清热、镇静之效，治神经衰弱等症...
橄榄,功用,为很好的防风树种及行道树。木材可造船，作枕木。制家具、农...
方榄,功用,果可食。种子油可制肥皂或作润滑油。木材用途同橄榄。
乌榄,功用,果可生食，果肉腌制“榄角”（或称“榄豉”）作菜，榄仁为饼...
滇榄,功用,果可生食。种子可榨油。树脂棕褐色，状如松脂，可用人工方法...
直生刀豆,功用,本种可作绿肥，亦可作饲料，但适口性差，惟干后味道较好；嫩...
当归属,功用,本属中有很多药用植物，常用中药如当归、白芷、独活。有些种...
拐芹,功用,辽宁有些地区4-6月采集幼苗作春季山菜，供食用。
狭羽观音座莲,功用,根状茎可食。
食用观音座莲,功用,根据俞德浚1937年记载，本种蕨类在怒江及俅江亚热带河谷两岸...
福建观音座莲,功用,块茎可取淀粉，曾为山区一种食粮的来源。
大顶观音座莲,功用,根状茎可食。
强壮观音座莲,功用,嫩叶用水泡过可食。
毛叶番荔枝,功用,果可食用，为著名热带水果，含蛋白质1.83％，脂肪0.14％，糖...
圆滑番荔枝,功用,木材黄褐色，较轻，可作瓶塞和鱼网浮子之用。果可食。可用种...
刺果番荔枝,功用,果实硕大而有酸甜味，可食用，含蛋白质0.70％，脂肪0.40％，...
牛心番荔枝,功用,果可食用，为热带地区著名水果，含蛋白质1.60％，脂肪0.26％...
番荔枝,功用,果食用，外形酷似荔枝，故名“番荔枝”，为热带地区著名水果...
春黄菊族,功用,本族中有些属的植物是知名的蔬菜，如蒿子竿Chrysanthemum ca...
五月茶,功用,散孔材，木材淡棕红色，纹理直至斜，结构细，材质软，适于作...
楸,功用,木种性喜肥土，生长迅速，树干通直，木材坚硬，为良好的建筑...
梓,功用,“在适地生长颇速，春日满树白花，秋冬英垂如豆；木材白色稍...
青葙,功用,Celosia argentea L. Sp. Pl. 205. 1753; 中国北部植物图志4...
菲律宾朴树,功用,1. 菲律宾朴树（台湾植物志）
欧洲甜樱桃,功用,果型大，风味优美，生食或制罐头，樱桃汁可制糖浆、糖胶及果...
高盆樱桃,功用,36.高盆樱桃 箐樱桃（云南），云南欧李（中国高等植物图鉴）
欧李,功用,本种喜较湿润环境，耐严寒，在肥沃的砂质壤土或轻粘壤土种植...
毛樱桃,功用,本种果实微酸甜，可食及酿酒；种仁含油率达43%左右，可制肥...
粗梗水蕨,功用,本种可供药用，茎叶入药可治胎毒，消痰积；嫩叶可做蔬菜。
水蕨,功用,本种可供药用，茎叶入药可治胎毒，消痰积；嫩叶可做蔬菜。
木瓜,功用,习见栽培供观赏，果实味涩，水煮或浸渍糖液中供食用，入药有...
藜科,功用,藜科植物多生活在荒漠及盐碱土地区，因此，往往呈现旱生的适...
藜,功用,幼苗可作蔬菜用，茎叶可喂家畜。全草又可入药，能止泻痢，止...
杖藜,功用,嫩苗可作蔬菜，种子可代粮食用，茎杆用做手杖（称藜杖）。
番木瓜,功用,番木瓜果实成熟可作水果，未成熟的果实可作蔬菜煮熟食或腌食...
刺黄果,功用,本种刺长而锐利，可栽作围篱用。其果可生食，也可做糕饼馅及...
鹅耳枥,功用,木材坚韧，可制农具、家具、日用小器具等。种子含油，可供食...
红花,功用,红花有抗寒、耐旱和耐盐碱能力，适应性较强，生活周期120天...
山核桃,功用,果仁味美可食，亦用以榨油，其油芳香可口，供食用，也可作配...
湖南山核桃,功用,果可榨油，油供食用。
美国山核桃,功用,果仁（即种子）含油脂，可食。
越南山核桃,功用,果仁含油可食。模式标本采自越南北部。
短穗鱼尾葵,功用,茎的髓心含淀粉，可供食用，花序液汁含糖分，供制糖或酿酒。
鱼尾葵,功用,本种树形美丽，可作庭园绿化植物；茎髓含淀粉，可作桄榔粉的...
董棕,功用,木质坚硬，可作水槽与水车；髓心含淀粉，可代西谷米；叶鞘纤...
槐叶决明,功用,嫩叶和嫩荚供食用；种子为解热药。
决明,功用,其种子叫决明子，有清肝明目、利水通便之功效，同时还可提取...
栗,功用,栗，在古书中最早见于《诗经》一书，可知栗的栽培史在我国至...
银叶锥,功用,坚果在本地集市上出售并食用。
寒竹属,功用,本属竹类多在9-11月出笋，笋叶鲜美，但制笋干时会因酶的作用...
小方竹,功用,本种在当地称“刺竹”，常利用竹竿作围篱。笋味鲜美可食。
毛环方竹,功用,本种笋味鲜美，可鲜食或加工为笋干及制罐头，同时竹株姿态优...
乳纹方竹,功用,笋供食用。
墨脱方竹,功用,笋供食用。
刺黑竹,功用,本种竿作农具及造纸原料。笋供食用，四川当地称为“牛尾笋”...
刺竹子,功用,竿可供农用，幼竿加工可制纸和竹麻；笋可食。
方竹,功用,本种可供庭园观赏。竿可作手杖。因质地较脆，故不宜用劈篾编...
金佛山方竹,功用,笋供食用，可制笋干。本世纪30年代最高产笋量曾达到年产30多...
虎尾草,功用,本种为各种牲畜食用的牧草，由于分布广，体形变异幅度甚大，...
南酸枣 (原变种）,功用,生长快、适应性强，为较好的速生造林树种。树皮和叶可提栲胶...
金叶树,功用,根、叶入药，有活血去瘀、消肿止痛之效，治跌打瘀肿、风湿关...
鹰嘴豆,功用,种子、嫩荚、嫩苗均可供食用。
银叶桂,功用,枝叶、干及根均含芳香油；小枝皮可作调味香料。
香桂,功用,香桂叶油可作香料及医药上的杀菌剂，还可以单离丁香酚，用作...
川桂,功用,枝叶和果均含芳香油，油供作食品或皂用香精的调合原料。川桂...
西瓜,功用,本种果实为夏季之水果，果肉味甜，能降温去暑；种子含油，可...
来檬,功用,来檬是世界柑橘类水果中的四大主要栽培种之一。欧、非、美三...
假黄皮,功用,根皮泥黄色，内皮淡黄白色，有芳香气味。用作草药，多用其叶...
蝴蝶果,功用,种子含丰富的淀粉和油，煮熟并除去胚后可食用；木材适做家具...
藤山柳属,功用,本属植物的果成熟时亦可食；茎含单宁可提制烤胶；少数种类入...
白花菜,功用,是低海拔村边、道旁、荒地或田野间常见杂草及药用植物亚洲、...
广东大青,功用,广西融水有栽培，食用其叶。又据采集记录：花香，果可食。广...
岩荠,功用,全草作蔬菜食用；亦供药用，有抗坏血病功效；又治消化不良、...
椰子,功用,椰子具有极高的经济价值，全株各部分都有用途。未熟胚乳（“...
芋属,功用,本属具块茎的种类大都可食：作杂粮或供蔬食，也是良好的猪饲...
芋,功用,块茎可食：可作羹菜，也可代粮或制淀粉，自古视为重要的粮食...
假芋,功用,叶可供蔬食（云南西双版纳）。
紫芋,功用,块茎、叶柄、花序均可作蔬菜。
菊科,功用,菊科种类繁多，许多种类富于经济价值，如莴苣、莴笋、茼蒿、...
旋花科,功用,有些种类供食用，如番薯是主要的粮食作物之一，蕹菜为常见栽...
黄麻,功用,本种茎皮富含纤维，可作绳索及织制麻袋；经加工处理，可织制...
芫荽,功用,茎叶作蔬菜和调香料，并有健胃消食作用；果实可提芳香油；种...
山茱萸科,功用,本科植物的木材坚硬为良好的农具用材；少数种类为木本油科植...
紫堇,功用,本种能作蔬莱，并宜于栽培(Fedde 1929)。据吴征镒考证：堇字...
华榛,功用,木材供建筑及制作器具，种子可食。
刺榛,功用,1.刺榛　滇刺榛（中国森林树木图志）图版13: 1-2
藏刺榛,功用,种子可食。
榛,功用,4.榛（诗经）榛子（东北）图版13：3-4
川榛,功用,种子可食，并可榨油。
毛榛,功用,种子可食。
贝叶棕,功用,贝叶棕的引入首先是作为一种宗教信仰的植物而栽培。另外，还...
红叶,功用,木材黄色，古代作黄色染料。树皮和叶可提栲胶。叶含芳香油，...
野茼蒿,功用,全草入药，有健脾、消肿之功效，治消化不良、脾虚浮肿等症。...
山楂属,功用,本属有些种类果实大形而肉质，可供鲜食，或作果冻蜜饯及糖渍...
野山楂,功用,5. 野山楂（中国树木分类学）小叶山楂、牧虎梨（河南土名）...
湖北山楂,功用,果可食或作山楂糕及酿酒，湖北、浙江有栽培。
毛山楂,功用,木材可作家具、文具、木柜等，果可食。
云南山楂,功用,云南中部村边习见栽培作果树，有土黄果、大白果、小白果等品...
树头菜,功用,云南石屏、建水等地有取嫩叶盐渍食用，故有树头菜之名。又据...
猪屎豆属,功用,本属植物含有吡咯衍生的毗咯烷类生物碱 (Pyrrolizidine alka...
大托叶猪屎豆,功用,本种近年来临床试用在皮肤鳞状细胞癌和基底细胞癌有较好效果...
十字花科,功用,十字花科是一个经济价值较大的科，其中如芸苔属和萝卜属为我...
隐花草,功用,为盐碱土指示植物；牲畜可食。
隐棒花,功用,根茎含淀粉，可作糊料，漂水去毒后可食；全株可作饲料。
马泡瓜,功用,常不食用，作观赏。
菜瓜,功用,果实为夏季的蔬菜，并多酱渍作酱瓜。
笋瓜,功用,果实作蔬菜，种子含油。
南瓜,功用,本种的果实作肴馔，亦可代粮食。全株各部又供药用，种子含南...
西葫芦,功用,果实作蔬菜。
柘属,功用,茎皮纤维可以造纸；木材或作黄色染料；叶可以养蚕；有些种类...
拓树,功用,茎皮纤维可以造纸；根皮药用；嫩叶可以养幼蚕（四川农村均以...
孜然芹,功用,在我国新疆维吾尔族和哈萨克族民间，将果实研末，用作食品中...
郁金,功用,“郁金”有行气解郁，破瘀、止痛的功用，主治胸闷胁痛，胃腹...
姜黄,功用,根茎含姜黄素 (Curcumin C21H20O6) 约0.3％，挥发油约1-5％…
瓜儿豆属,功用,本属植物是良好的饲料、绿肥；嫩荚可供食用；种子胚乳中含瓜...
苏铁属,功用,本属各种可作庭园树及盆栽观赏树；干髓有淀粉，可供食用；嫩...
苏铁,功用,苏铁为优美的观赏树种，栽培极为普遍，茎内含淀粉，可供食用...
华南苏铁,功用,8.华南苏铁（中国树木学）刺叶苏铁（中国树木分类学），龙尾...
云南苏铁,功用,观赏植物，髓含淀粉可供食用。
小雀瓜,功用,幼苗及果实作蔬菜食用。
青冈属,功用,木材为辐射孔材，红褐色、黄褐色或灰白色，材质重至甚重，硬...
槟榔青冈,功用,木材供器具、家具用材；树干可培养香菇。据广东资料：种子含...
黄毛青冈,功用,木材红褐色，材质坚硬，耐腐，供桩柱、桥梁、地板、农具柄、...
青冈,功用,木材坚韧，可供桩柱、车船、工具柄等用材；种子含淀粉60-70...
滇青冈,功用,据云南经济植物记载：种仁含淀粉55.71％，鞣质15.75％，蛋白...
细叶青冈,功用,木材坚韧，可供桩柱、车船、工具柄等用材；种子含淀粉60-70...
雷公青冈,功用,据广东资料：种子含炭水化合物50.9％，淀粉 45.66％。
云山青冈,功用,种子含淀粉，可酿酒或作饲料。
榅桲属,功用,果树及砧木；果实食用或加工，并可入药。
榅桲,功用,果实芳香，味酸可供生食或煮食。又供药用，以治水泻，肠虚、...
柠檬草,功用,茎叶提取柠檬香精油，供制香水、肥皂，并可食用，嫩茎叶为制...
曲序香茅,功用,叶含柠檬香气，蒸馏出暗红色精油，用作人造香精油、香皂的原...
地梢瓜,功用,42. 地梢瓜（救荒本草）地梢花（江苏南部种子植物手册），女...
雀瓢,功用,全株含橡胶1.5%，树脂3.6%，可作工业原料；幼果可食；种毛可...
变色白前,功用,根和根茎可药用，能解热利尿，可治肺结核的虚痨热，浮肿、淋...
锁阳,功用,除去花序的肉质茎供药用（药材名：锁阳），能补肾、益精、润...
胡萝卜,功用,根作蔬菜食用。并含多量维生素甲、乙、丙及胡萝卜素。用种子...
水麻属,功用,本属植物的韧皮纤维是良好的代麻用原料，果实可食、酿酒，叶...
水麻,功用,本种是我国南部与西部地区常用的一种野生纤维植物，果可食，...
猫儿屎,功用,果皮含橡胶，可制橡胶用品；果肉可食，亦可酿酒；种子含油，...
尖叶四照花,功用,本种的果实成熟时味甜可食。
头状四照花,功用,8.头状四照花（植物分类学报）鸡嗦子（云南）图版38：1-8
峨眉四照花,功用,本变种的成熟果实味甜可食。
褐毛四照花,功用,7．褐毛四照花（植物分类学报）
缙云四照花,功用,本变种的果实成熟时可作食用。
香港四照花,功用,本种的木材为建筑材料；果作食用，又可作为酿酒原料。
四照花,功用,果实成熟时紫红色，味甜可食，又可作为酿酒原料。
苦绿竹,功用,笋味苦，不宜食用。
大头典竹,功用,用途与原变种多相同，笋亦可供食用。
孟竹,功用,笋可食；竿供建筑业的脚手架、撑船篙以及引水管等用途。
大绿竹,功用,竹材坚硬，可作建筑之梁柱、引水管以及编扎竹排，亦可作挑扛...
乌脚绿,功用,本种在台湾北部广栽培。其笋可供食用，笋味较绿竹鲜美。
黄麻竹,功用,本种笋味鲜美，具有软、滑、香、脆等特色，入口无渣，当地人...
吊丝单,功用,笋味鲜美，为广州市常见栽培的笋用竹；竹竿也可供建筑和作脚...
马来甜龙竹,功用,竿可为造纸原料，亦宜庭园栽培，有观赏价值。笋可供蔬食。
大叶慈,功用,整竿可用作农具柄及棚架等材料，亦能劈篾编结各种竹器。竹丛...
龙竹,功用,牡竹属中栽培最广泛的可算是本种，我国滇西南可能是它的自然...
野龙竹,功用,笋味鲜美，是开发笋用竹的入选竹种。在产地常零星开花。
西藏牡竹,功用,笋可食，竿可作酥油筒、引水管和建筑材料等，劈篾可编结各种...
播娘蒿,功用,种子含油40％，油工业用，并可食用；种子亦可药用，有利尿消...
十字马唐,功用,为一种优良牧草。印度和我国西南部有时栽培，其谷粒可供食用...
五桠果,功用,果实可食。
龙荔,功用,树干粗大，心材茶褐色，质坚而重，颇耐腐，据广西龙州等地群...
钝叶龙眼,功用,龙眼的栽培品种不如荔枝的多，目前比较受好评的有广东的石峡...
薯蓣属,功用,本属中许多种类具有重要的经济价值，如热带和亚热带地区广为...
参薯,功用,块茎作蔬菜食用；部分地区作“淮山药”入药，有滋补强壮的作...
甘薯,功用,块茎供食用。
有刺甘薯,功用,块茎供食用。
粘山药,功用,块茎可提取淀粉。
日本薯蓣,功用,块茎入药，为强壮健胃药；也供食用。
薯蓣,功用,块茎为常用中药“淮山药”，有强壮、祛痰的功效；又能食用。
毛胶薯蓣,功用,块茎含薯蓣胶，可作粘合剂，并可提取淀粉；药用能健脾去湿、...
短柄粉叶柿,功用,果实成熟时味清甜可食（据采集记录）。
大花柿,功用,未成熟柿子用于提取柿漆。果脱涩后可食，亦有在树上自然脱涩...
野柿,功用,未成熟柿子用于提取柿漆。果脱涩后可食，亦有在树上自然脱涩...
油柿,功用,果可供食用，广西桂林附近六塘所产冻柿的风味，和通常栽培的...
异色柿,功用,除去皮毛后的果可食，但味不好。边材灰色或淡红白色，老树的...
保亭柿,功用,未熟果实可提取柿漆。据采集记录说果可食。
云南金钱槭,功用,本种除有特殊的观赏价值外，又可作绿化树种。种子含很丰富的...
栘[木衣]属,功用,栽培供观赏用，果实可食或入药。
锡兰莓,功用,桨果味酸，可生食和蜜饯；果色红紫，供庭园栽培观赏。
人面子,功用,果肉可食或盐溃作菜或制其他食品，入药能醒酒解毒，又可治风...
南山藤,功用,1. 南山藤（中国高等植物图鉴）假夜来香、春筋藤、双根藤（...
羊竹子,功用,幼竿砍下浸水一周后，可捶绒供编制草鞋，笋无食用价值。
盾叶茅膏菜,功用,Drosera peltata Smith var. multisepala Y. Z. Ruan 植物…
茅膏菜,功用,本变种球茎生食会麻口，过量服食有毒。据载药用可治跌打损伤...
蛇莓属,功用,全株供药用，果实可食，种子含油。
榴莲,功用,果未成熟时供蔬食。种子可炒食。
锈毛梭子果,功用,种子油供食用或制皂；木材通直，结构紧密，材质坚韧，为极好...
梭子果,功用,种子油供食用或制皂；木材通直，结构紧密，材质坚韧，为极好...
稗属,功用,本属大都为田间杂草；有的为优良牧草；其颖果含淀粉，尤其栽...
凤眼蓝,功用,全草为家畜、家禽饲料；嫩叶及叶柄可作蔬菜。全株也可供药用...
胡颓子属,功用,本属经济价值颇大，是一类野生核果类植物，不少种类的果实富...
蔓胡颓子,功用,日本也有分布。果可食或酿酒；叶有收敛止泻、平喘止咳之效，...
角花胡颓子,功用,全株均可入药。果实可食，生津止喝，可治肠炎、腹泻；全株治...
宜昌胡颓子,功用,果实可生食和酿酒、制果酱；四川草医用果实止痢疾，叶治肺虚...
银果牛奶子,功用,果实可生食和酿酒，亦是观赏植物。
翅果油树,功用,种子含油脂，种仁含粗脂肪46.58-51.4s％，出油率可达30-35％...
细枝木半夏,功用,果实可生食；果、叶和根可入药，可治痔漏、白浊、清寒表汗、...
